Match_ID,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
18.8.2023_Werder Bremen_Bayern_0_4,18.8.2023,Spieltag 1 von 34,Werder Bremen,Bayern,0,4
19.8.2023_Wolfsburg_Heidenheim_2_0,19.8.2023,Spieltag 1 von 34,Wolfsburg,Heidenheim,2,0
19.8.2023_Hoffenheim_Freiburg_1_2,19.8.2023,Spieltag 1 von 34,Hoffenheim,Freiburg,1,2
19.8.2023_Augsburg_Mönchengladbach_4_4,19.8.2023,Spieltag 1 von 34,Augsburg,Mönchengladbach,4,4
19.8.2023_VfB Stuttgart_Bochum_5_0,19.8.2023,Spieltag 1 von 34,VfB Stuttgart,Bochum,5,0
19.8.2023_Leverkusen_RB Leipzig_3_2,19.8.2023,Spieltag 1 von 34,Leverkusen,RB Leipzig,3,2
19.8.2023_Dortmund_Köln_1_0,19.8.2023,Spieltag 1 von 34,Dortmund,Köln,1,0
20.8.2023_Union Berlin_Mainz_4_1,20.8.2023,Spieltag 1 von 34,Union Berlin,Mainz,4,1
20.8.2023_Eintracht Frankfurt_Darmstadt 98_1_0,20.8.2023,Spieltag 1 von 34,Eintracht Frankfurt,Darmstadt 98,1,0
25.8.2023_RB Leipzig_VfB Stuttgart_5_1,25.8.2023,Spieltag 2 von 34,RB Leipzig,VfB Stuttgart,5,1
26.8.2023_Freiburg_Werder Bremen_1_0,26.8.2023,Spieltag 2 von 34,Freiburg,Werder Bremen,1,0
26.8.2023_Heidenheim_Hoffenheim_2_3,26.8.2023,Spieltag 2 von 34,Heidenheim,Hoffenheim,2,3
26.8.2023_Köln_Wolfsburg_1_2,26.8.2023,Spieltag 2 von 34,Köln,Wolfsburg,1,2
26.8.2023_Darmstadt 98_Union Berlin_1_4,26.8.2023,Spieltag 2 von 34,Darmstadt 98,Union Berlin,1,4
26.8.2023_Bochum_Dortmund_1_1,26.8.2023,Spieltag 2 von 34,Bochum,Dortmund,1,1
26.8.2023_Mönchengladbach_Leverkusen_0_3,26.8.2023,Spieltag 2 von 34,Mönchengladbach,Leverkusen,0,3
27.8.2023_Mainz_Eintracht Frankfurt_1_1,27.8.2023,Spieltag 2 von 34,Mainz,Eintracht Frankfurt,1,1
27.8.2023_Bayern_Augsburg_3_1,27.8.2023,Spieltag 2 von 34,Bayern,Augsburg,3,1
1.9.2023_Dortmund_Heidenheim_2_2,1.9.2023,Spieltag 3 von 34,Dortmund,Heidenheim,2,2
2.9.2023_Augsburg_Bochum_2_2,2.9.2023,Spieltag 3 von 34,Augsburg,Bochum,2,2
2.9.2023_Leverkusen_Darmstadt 98_5_1,2.9.2023,Spieltag 3 von 34,Leverkusen,Darmstadt 98,5,1
2.9.2023_Hoffenheim_Wolfsburg_3_1,2.9.2023,Spieltag 3 von 34,Hoffenheim,Wolfsburg,3,1
2.9.2023_Werder Bremen_Mainz_4_0,2.9.2023,Spieltag 3 von 34,Werder Bremen,Mainz,4,0
2.9.2023_VfB Stuttgart_Freiburg_5_0,2.9.2023,Spieltag 3 von 34,VfB Stuttgart,Freiburg,5,0
2.9.2023_Mönchengladbach_Bayern_1_2,2.9.2023,Spieltag 3 von 34,Mönchengladbach,Bayern,1,2
3.9.2023_Eintracht Frankfurt_Köln_1_1,3.9.2023,Spieltag 3 von 34,Eintracht Frankfurt,Köln,1,1
3.9.2023_Union Berlin_RB Leipzig_0_3,3.9.2023,Spieltag 3 von 34,Union Berlin,RB Leipzig,0,3
15.9.2023_Bayern_Leverkusen_2_2,15.9.2023,Spieltag 4 von 34,Bayern,Leverkusen,2,2
16.9.2023_Freiburg_Dortmund_2_4,16.9.2023,Spieltag 4 von 34,Freiburg,Dortmund,2,4
16.9.2023_Wolfsburg_Union Berlin_2_1,16.9.2023,Spieltag 4 von 34,Wolfsburg,Union Berlin,2,1
16.9.2023_Mainz_VfB Stuttgart_1_3,16.9.2023,Spieltag 4 von 34,Mainz,VfB Stuttgart,1,3
16.9.2023_RB Leipzig_Augsburg_3_0,16.9.2023,Spieltag 4 von 34,RB Leipzig,Augsburg,3,0
16.9.2023_Köln_Hoffenheim_1_3,16.9.2023,Spieltag 4 von 34,Köln,Hoffenheim,1,3
16.9.2023_Bochum_Eintracht Frankfurt_1_1,16.9.2023,Spieltag 4 von 34,Bochum,Eintracht Frankfurt,1,1
17.9.2023_Heidenheim_Werder Bremen_4_2,17.9.2023,Spieltag 4 von 34,Heidenheim,Werder Bremen,4,2
17.9.2023_Darmstadt 98_Mönchengladbach_3_3,17.9.2023,Spieltag 4 von 34,Darmstadt 98,Mönchengladbach,3,3
22.9.2023_VfB Stuttgart_Darmstadt 98_3_1,22.9.2023,Spieltag 5 von 34,VfB Stuttgart,Darmstadt 98,3,1
23.9.2023_Augsburg_Mainz_2_1,23.9.2023,Spieltag 5 von 34,Augsburg,Mainz,2,1
23.9.2023_Bayern_Bochum_7_0,23.9.2023,Spieltag 5 von 34,Bayern,Bochum,7,0
23.9.2023_Mönchengladbach_RB Leipzig_0_1,23.9.2023,Spieltag 5 von 34,Mönchengladbach,RB Leipzig,0,1
