,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
3.3.2024_FC Koln_Bayer Leverkusen_0_2,3.3.2024,FC Koln,Bayer Leverkusen,0,2,7.9,5.1,1.37,,,,8.0,5.0,1.36,7.8,5.2,1.37,,,
2.3.2024_Wolfsburg_Stuttgart_2_3,2.3.2024,Wolfsburg,Stuttgart,2,3,3.33,3.5,2.17,,,,3.4,3.5,2.14,3.25,3.5,2.2,,,
2.3.2024_Bochum_RB Leipzig_1_4,2.3.2024,Bochum,RB Leipzig,1,4,4.5,4.29,1.69,,,,4.5,4.33,1.67,4.5,4.25,1.7,,,
2.3.2024_Darmstadt_Augsburg_0_6,2.3.2024,Darmstadt,Augsburg,0,6,3.38,3.48,2.14,,,,3.4,3.5,2.1,3.35,3.45,2.18,,,
2.3.2024_Heidenheim_Eintracht Frankfurt_1_2,2.3.2024,Heidenheim,Eintracht Frankfurt,1,2,2.95,3.25,2.44,,,,2.9,3.2,2.45,3.0,3.3,2.42,,,
2.3.2024_Mainz_B. Monchengladbach_1_1,2.3.2024,Mainz,B. Monchengladbach,1,1,1.92,3.63,3.9,,,,1.93,3.6,3.8,1.9,3.65,4.0,,,
2.3.2024_Union Berlin_Dortmund_0_2,2.3.2024,Union Berlin,Dortmund,0,2,3.33,3.65,2.09,,,,3.3,3.6,2.12,3.35,3.7,2.07,,,
20.1.2024_Heidenheim_Wolfsburg_1_1,20.1.2024,Heidenheim,Wolfsburg,1,1,2.79,3.40,2.53,,,,2.80,3.40,2.50,2.77,3.40,2.55,,,
14.1.2024_B. Monchengladbach_Stuttgart_3_1,14.1.2024,B. Monchengladbach,Stuttgart,3,1,3.68,3.83,1.92,,,,3.70,3.80,1.91,3.65,3.85,1.93,,,
14.1.2024_Bochum_Werder Bremen_1_1,14.1.2024,Bochum,Werder Bremen,1,1,2.15,3.60,3.28,,,,2.14,3.60,3.30,2.15,3.60,3.25,,,
13.1.2024_Darmstadt_Dortmund_0_3,13.1.2024,Darmstadt,Dortmund,0,3,4.72,4.43,1.63,,,,4.75,4.50,1.61,4.70,4.35,1.65,,,
13.1.2024_FC Koln_Heidenheim_1_1,13.1.2024,FC Koln,Heidenheim,1,1,2.00,3.60,3.70,,,,1.99,3.60,3.70,2.00,3.60,3.70,,,
13.1.2024_Augsburg_Bayer Leverkusen_0_1,13.1.2024,Augsburg,Bayer Leverkusen,0,1,5.70,4.60,1.50,,,,5.50,4.50,1.50,5.90,4.70,1.50,,,
13.1.2024_Freiburg_Union Berlin_0_0,13.1.2024,Freiburg,Union Berlin,0,0,2.13,3.30,3.58,,,,2.12,3.30,3.60,2.15,3.30,3.55,,,
13.1.2024_Mainz_Wolfsburg_1_1,13.1.2024,Mainz,Wolfsburg,1,1,2.04,3.43,3.73,,,,2.05,3.40,3.70,2.02,3.45,3.75,,,
13.1.2024_RB Leipzig_Eintracht Frankfurt_0_1,13.1.2024,RB Leipzig,Eintracht Frankfurt,0,1,1.41,4.83,7.50,,,,1.40,5.00,7.50,1.42,4.65,7.50,,,
12.1.2024_Bayern Munich_Hoffenheim_3_0,12.1.2024,Bayern Munich,Hoffenheim,3,0,1.13,9.25,16.00,,,,1.13,9.00,15.00,1.13,9.50,17.00,,,
20.12.2023_Bayer Leverkusen_Bochum_4_0,20.12.2023,Bayer Leverkusen,Bochum,4,0,1.23,6.55,11.88,,,,1.22,7.00,12.00,1.25,6.10,11.75,,,
20.12.2023_Eintracht Frankfurt_B. Monchengladbach_2_1,20.12.2023,Eintracht Frankfurt,B. Monchengladbach,2,1,1.85,3.95,3.98,,,,1.98,3.80,3.50,1.72,4.10,4.45,,,
20.12.2023_Heidenheim_Freiburg_3_2,20.12.2023,Heidenheim,Freiburg,3,2,2.87,3.53,2.42,,,,2.63,3.60,2.55,3.10,3.45,2.30,,,
20.12.2023_Stuttgart_Augsburg_3_0,20.12.2023,Stuttgart,Augsburg,3,0,1.38,5.05,7.50,,,,1.38,5.00,7.50,1.39,5.10,7.50,,,
20.12.2023_Wolfsburg_Bayern Munich_1_2,20.12.2023,Wolfsburg,Bayern Munich,1,2,6.30,5.18,1.42,,,,6.50,5.50,1.38,6.10,4.85,1.47,,,
20.12.2023_Union Berlin_FC Koln_2_0,20.12.2023,Union Berlin,FC Koln,2,0,1.84,3.70,4.30,,,,1.85,3.70,4.25,1.82,3.70,4.35,,,
19.12.2023_Dortmund_Mainz_1_1,19.12.2023,Dortmund,Mainz,1,1,1.52,4.60,5.50,,,,1.48,4.75,5.50,1.55,4.45,5.50,,,
19.12.2023_Hoffenheim_Darmstadt_3_3,19.12.2023,Hoffenheim,Darmstadt,3,3,1.54,4.50,5.50,,,,1.56,4.50,5.00,1.52,4.50,6.00,,,
19.12.2023_Werder Bremen_RB Leipzig_1_1,19.12.2023,Werder Bremen,RB Leipzig,1,1,5.05,4.50,1.59,,,,4.50,4.50,1.65,5.60,4.50,1.53,,,
17.12.2023_Bayern Munich_Stuttgart_3_0,17.12.2023,Bayern Munich,Stuttgart,3,0,1.44,5.25,6.50,,,,1.33,5.50,8.00,1.55,5.00,5.00,,,
17.12.2023_Bayer Leverkusen_Eintracht Frankfurt_3_0,17.12.2023,Bayer Leverkusen,Eintracht Frankfurt,3,0,1.40,5.17,8.63,,,,1.53,4.33,6.00,1.26,6.00,11.25,,,
17.12.2023_Freiburg_FC Koln_2_0,17.12.2023,Freiburg,FC Koln,2,0,1.88,3.65,4.13,,,,1.85,3.70,4.20,1.90,3.60,4.05,,,
16.12.2023_RB Leipzig_Hoffenheim_3_1,16.12.2023,RB Leipzig,Hoffenheim,3,1,1.50,5.12,6.13,,,,1.65,4.33,4.75,1.34,5.90,7.50,,,
16.12.2023_Augsburg_Dortmund_1_1,16.12.2023,Augsburg,Dortmund,1,1,3.78,4.17,1.88,,,,4.50,4.33,1.63,3.05,4.00,2.12,,,
16.12.2023_Bochum_Union Berlin_3_0,16.12.2023,Bochum,Union Berlin,3,0,2.58,3.40,2.70,,,,2.55,3.50,2.63,2.60,3.30,2.77,,,
16.12.2023_Darmstadt_Wolfsburg_0_1,16.12.2023,Darmstadt,Wolfsburg,0,1,3.50,3.70,2.02,,,,3.20,3.70,2.11,3.80,3.70,1.93,,,
16.12.2023_Mainz_Heidenheim_0_1,16.12.2023,Mainz,Heidenheim,0,1,1.83,3.90,4.20,,,,1.96,3.70,3.80,1.70,4.10,4.60,,,
15.12.2023_B. Monchengladbach_Werder Bremen_2_2,15.12.2023,B. Monchengladbach,Werder Bremen,2,2,2.03,3.83,3.33,,,,1.93,3.80,3.50,2.12,3.85,3.15,,,
10.12.2023_FC Koln_Mainz_0_0,10.12.2023,FC Koln,Mainz,0,0,2.49,3.43,2.86,,,,2.27,3.50,3.10,2.70,3.35,2.62,,,
10.12.2023_Stuttgart_Bayer Leverkusen_1_1,10.12.2023,Stuttgart,Bayer Leverkusen,1,1,2.95,3.68,2.29,,,,3.00,3.80,2.22,2.90,3.55,2.35,,,
9.12.2023_Dortmund_RB Leipzig_2_3,9.12.2023,Dortmund,RB Leipzig,2,3,2.48,3.83,2.63,,,,2.33,3.80,2.80,2.62,3.85,2.45,,,
9.12.2023_Eintracht Frankfurt_Bayern Munich_5_1,9.12.2023,Eintracht Frankfurt,Bayern Munich,5,1,7.63,5.30,1.37,,,,7.00,5.00,1.40,8.25,5.60,1.33,,,
9.12.2023_Heidenheim_Darmstadt_3_2,9.12.2023,Heidenheim,Darmstadt,3,2,1.96,3.75,3.78,,,,2.09,3.70,3.30,1.82,3.80,4.25,,,
9.12.2023_Union Berlin_B. Monchengladbach_3_1,9.12.2023,Union Berlin,B. Monchengladbach,3,1,2.14,3.50,3.38,,,,2.23,3.50,3.15,2.05,3.50,3.60,,,
9.12.2023_Werder Bremen_Augsburg_2_0,9.12.2023,Werder Bremen,Augsburg,2,0,2.30,3.65,2.93,,,,2.33,3.70,2.80,2.27,3.60,3.05,,,
9.12.2023_Wolfsburg_Freiburg_0_1,9.12.2023,Wolfsburg,Freiburg,0,1,2.18,3.58,3.24,,,,2.16,3.60,3.28,2.20,3.55,3.20,,,
8.12.2023_Hoffenheim_Bochum_3_1,8.12.2023,Hoffenheim,Bochum,3,1,1.75,4.13,4.37,,,,1.74,4.20,4.33,1.75,4.05,4.40,,,
3.12.2023_Augsburg_Eintracht Frankfurt_2_1,3.12.2023,Augsburg,Eintracht Frankfurt,2,1,2.63,3.48,2.64,,,,2.63,3.50,2.63,2.62,3.45,2.65,,,
3.12.2023_Bayer Leverkusen_Dortmund_1_1,3.12.2023,Bayer Leverkusen,Dortmund,1,1,1.64,4.47,4.78,,,,1.65,4.50,4.75,1.62,4.45,4.80,,,
3.12.2023_Mainz_Freiburg_0_1,3.12.2023,Mainz,Freiburg,0,1,2.26,3.45,3.20,,,,2.30,3.50,3.10,2.22,3.40,3.30,,,
2.12.2023_Stuttgart_Werder Bremen_2_0,2.12.2023,Stuttgart,Werder Bremen,2,0,1.35,5.50,8.00,,,,1.37,5.50,7.50,1.33,5.50,8.50,,,
2.12.2023_B. Monchengladbach_Hoffenheim_2_1,2.12.2023,B. Monchengladbach,Hoffenheim,2,1,2.15,4.10,3.00,,,,2.15,4.15,3.00,2.15,4.05,3.00,,,
2.12.2023_Bochum_Wolfsburg_3_1,2.12.2023,Bochum,Wolfsburg,3,1,2.56,3.48,2.70,,,,2.55,3.50,2.70,2.57,3.45,2.70,,,
2.12.2023_RB Leipzig_Heidenheim_2_1,2.12.2023,RB Leipzig,Heidenheim,2,1,1.24,6.60,11.13,,,,1.25,6.50,11.00,1.23,6.70,11.25,,,
1.12.2023_Darmstadt_FC Koln_0_1,1.12.2023,Darmstadt,FC Koln,0,1,2.70,3.38,2.64,,,,2.73,3.40,2.63,2.67,3.35,2.65,,,
1.10.2023_Darmstadt_Werder Bremen_4_2,1.10.2023,Darmstadt,Werder Bremen,4,2,2.88,3.75,2.34,,,,2.85,3.85,2.35,2.90,3.65,2.32,,,
30.9.2023_RB Leipzig_Bayern Munich_2_2,30.9.2023,RB Leipzig,Bayern Munich,2,2,3.98,4.35,1.77,,,,4.00,4.40,1.75,3.95,4.30,1.78,,,
30.9.2023_FC Koln_Stuttgart_0_2,30.9.2023,FC Koln,Stuttgart,0,2,2.78,3.55,2.49,,,,2.80,3.55,2.50,2.75,3.55,2.47,,,
30.9.2023_Bochum_B. Monchengladbach_1_3,30.9.2023,Bochum,B. Monchengladbach,1,3,2.33,3.55,3.03,,,,2.40,3.55,2.95,2.25,3.55,3.10,,,
30.9.2023_Heidenheim_Union Berlin_1_0,30.9.2023,Heidenheim,Union Berlin,1,0,3.10,3.50,2.28,,,,3.10,3.60,2.25,3.10,3.40,2.30,,,
30.9.2023_Mainz_Bayer Leverkusen_0_3,30.9.2023,Mainz,Bayer Leverkusen,0,3,5.20,4.45,1.60,,,,5.40,4.60,1.57,5.00,4.30,1.62,,,
30.9.2023_Wolfsburg_Eintracht Frankfurt_2_0,30.9.2023,Wolfsburg,Eintracht Frankfurt,2,0,2.15,3.50,3.40,,,,2.15,3.55,3.40,2.15,3.45,3.40,,,
29.9.2023_Hoffenheim_Dortmund_1_3,29.9.2023,Hoffenheim,Dortmund,1,3,3.13,3.88,2.13,,,,3.15,3.80,2.15,3.10,3.95,2.12,,,
24.9.2023_Eintracht Frankfurt_Freiburg_0_0,24.9.2023,Eintracht Frankfurt,Freiburg,0,0,2.23,3.48,3.25,,,,2.25,3.50,3.25,2.20,3.45,3.25,,,
24.9.2023_Bayer Leverkusen_Heidenheim_4_1,24.9.2023,Bayer Leverkusen,Heidenheim,4,1,1.23,6.95,12.00,,,,1.20,7.60,13.00,1.25,6.30,11.00,,,
23.9.2023_Werder Bremen_FC Koln_2_1,23.9.2023,Werder Bremen,FC Koln,2,1,2.42,3.58,2.84,,,,2.45,3.55,2.85,2.40,3.60,2.82,,,
23.9.2023_Augsburg_Mainz_2_1,23.9.2023,Augsburg,Mainz,2,1,2.53,3.48,2.76,,,,2.55,3.50,2.75,2.50,3.45,2.77,,,
23.9.2023_B. Monchengladbach_RB Leipzig_0_1,23.9.2023,B. Monchengladbach,RB Leipzig,0,1,4.38,4.30,1.71,,,,4.50,4.40,1.70,4.25,4.20,1.72,,,
23.9.2023_Bayern Munich_Bochum_7_0,23.9.2023,Bayern Munich,Bochum,7,0,1.15,9.15,14.25,,,,1.15,9.80,14.50,1.16,8.50,14.00,,,
23.9.2023_Dortmund_Wolfsburg_1_0,23.9.2023,Dortmund,Wolfsburg,1,0,1.75,4.20,4.22,,,,1.75,4.20,4.30,1.75,4.20,4.15,,,
23.9.2023_Union Berlin_Hoffenheim_0_2,23.9.2023,Union Berlin,Hoffenheim,0,2,2.13,3.65,3.35,,,,2.15,3.70,3.35,2.10,3.60,3.35,,,
22.9.2023_Stuttgart_Darmstadt_3_1,22.9.2023,Stuttgart,Darmstadt,3,1,1.40,5.03,7.60,,,,1.39,5.30,7.60,1.42,4.75,7.60,,,
17.9.2023_Darmstadt_B. Monchengladbach_3_3,17.9.2023,Darmstadt,B. Monchengladbach,3,3,2.41,3.55,2.86,,,,2.45,3.65,2.80,2.37,3.45,2.92,,,
17.9.2023_Heidenheim_Werder Bremen_4_2,17.9.2023,Heidenheim,Werder Bremen,4,2,2.34,3.80,2.84,,,,2.40,3.75,2.80,2.27,3.85,2.87,,,
16.9.2023_Bochum_Eintracht Frankfurt_1_1,16.9.2023,Bochum,Eintracht Frankfurt,1,1,2.81,3.40,2.54,,,,2.85,3.40,2.55,2.77,3.40,2.52,,,
16.9.2023_FC Koln_Hoffenheim_1_3,16.9.2023,FC Koln,Hoffenheim,1,3,2.22,3.70,3.10,,,,2.25,3.65,3.10,2.18,3.75,3.10,,,
16.9.2023_Freiburg_Dortmund_2_4,16.9.2023,Freiburg,Dortmund,2,4,2.84,3.75,2.36,,,,2.80,3.80,2.40,2.87,3.70,2.32,,,
16.9.2023_Mainz_Stuttgart_1_3,16.9.2023,Mainz,Stuttgart,1,3,2.65,3.47,2.63,,,,2.65,3.55,2.60,2.65,3.40,2.65,,,
16.9.2023_RB Leipzig_Augsburg_3_0,16.9.2023,RB Leipzig,Augsburg,3,0,1.27,6.25,10.05,,,,1.28,6.50,9.60,1.27,6.00,10.50,,,
16.9.2023_Wolfsburg_Union Berlin_2_1,16.9.2023,Wolfsburg,Union Berlin,2,1,2.24,3.35,3.38,,,,2.30,3.40,3.25,2.18,3.30,3.50,,,
15.9.2023_Bayern Munich_Bayer Leverkusen_2_2,15.9.2023,Bayern Munich,Bayer Leverkusen,2,2,1.60,4.75,4.90,,,,1.62,4.90,4.70,1.57,4.60,5.10,,,
3.9.2023_Union Berlin_RB Leipzig_0_3,3.9.2023,Union Berlin,RB Leipzig,0,3,3.35,3.55,2.15,,,,3.40,3.55,2.15,3.30,3.55,2.15,,,
3.9.2023_Eintracht Frankfurt_FC Koln_1_1,3.9.2023,Eintracht Frankfurt,FC Koln,1,1,2.17,3.40,3.45,,,,2.20,3.45,3.40,2.15,3.35,3.50,,,
2.9.2023_B. Monchengladbach_Bayern Munich_1_2,2.9.2023,B. Monchengladbach,Bayern Munich,1,2,9.60,6.60,1.27,,,,9.20,6.80,1.28,10.00,6.40,1.26,,,
2.9.2023_Augsburg_Bochum_2_2,2.9.2023,Augsburg,Bochum,2,2,2.21,3.55,3.23,,,,2.20,3.60,3.25,2.22,3.50,3.20,,,
2.9.2023_Bayer Leverkusen_Darmstadt_5_1,2.9.2023,Bayer Leverkusen,Darmstadt,5,1,1.22,6.65,13.13,,,,1.23,6.90,12.25,1.21,6.40,14.00,,,
2.9.2023_Hoffenheim_Wolfsburg_3_1,2.9.2023,Hoffenheim,Wolfsburg,3,1,2.59,3.68,2.60,,,,2.65,3.50,2.65,2.52,3.85,2.55,,,
2.9.2023_Stuttgart_Freiburg_5_0,2.9.2023,Stuttgart,Freiburg,5,0,2.30,3.50,3.10,,,,2.35,3.35,3.15,2.25,3.65,3.05,,,
2.9.2023_Werder Bremen_Mainz_4_0,2.9.2023,Werder Bremen,Mainz,4,0,2.65,3.50,2.61,,,,2.65,3.50,2.65,2.65,3.50,2.57,,,
1.9.2023_Dortmund_Heidenheim_2_2,1.9.2023,Dortmund,Heidenheim,2,2,1.25,6.75,10.38,,,,1.24,7.40,10.25,1.26,6.10,10.50,,,
27.8.2023_Bayern Munich_Augsburg_3_1,27.8.2023,Bayern Munich,Augsburg,3,1,1.11,10.75,19.50,,,,1.11,11.00,20.00,1.11,10.50,19.00,,,
27.8.2023_Mainz_Eintracht Frankfurt_1_1,27.8.2023,Mainz,Eintracht Frankfurt,1,1,2.58,3.43,2.76,,,,2.65,3.35,2.75,2.50,3.50,2.77,,,
26.8.2023_B. Monchengladbach_Bayer Leverkusen_0_3,26.8.2023,B. Monchengladbach,Bayer Leverkusen,0,3,4.20,4.00,1.79,,,,4.20,4.00,1.80,4.20,4.00,1.78,,,
26.8.2023_FC Koln_Wolfsburg_1_2,26.8.2023,FC Koln,Wolfsburg,1,2,2.26,3.50,3.15,,,,2.25,3.55,3.20,2.27,3.45,3.10,,,
26.8.2023_Bochum_Dortmund_1_1,26.8.2023,Bochum,Dortmund,1,1,6.00,4.90,1.50,,,,5.50,4.80,1.55,6.50,5.00,1.44,,,
26.8.2023_Darmstadt_Union Berlin_1_4,26.8.2023,Darmstadt,Union Berlin,1,4,3.98,3.45,1.97,,,,4.00,3.50,1.95,3.95,3.40,1.98,,,
26.8.2023_Freiburg_Werder Bremen_1_0,26.8.2023,Freiburg,Werder Bremen,1,0,1.73,4.05,4.58,,,,1.75,4.10,4.40,1.70,4.00,4.75,,,
26.8.2023_Heidenheim_Hoffenheim_2_3,26.8.2023,Heidenheim,Hoffenheim,2,3,3.00,3.70,2.29,,,,3.00,3.75,2.30,3.00,3.65,2.27,,,
25.8.2023_RB Leipzig_Stuttgart_5_1,25.8.2023,RB Leipzig,Stuttgart,5,1,1.60,4.40,5.20,,,,1.62,4.40,5.10,1.57,4.40,5.30,,,
20.8.2023_Eintracht Frankfurt_Darmstadt_1_0,20.8.2023,Eintracht Frankfurt,Darmstadt,1,0,1.49,4.80,6.30,,,,1.49,4.80,6.30,,,,,,
