,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
20.1.2024_RB Leipzig_Bayer Leverkusen_2_3,20.1.2024,RB Leipzig,Bayer Leverkusen,2,3,2.49,3.68,2.64,,,,2.5,3.7,2.6,2.47,3.65,2.67,,,
20.1.2024_FC Koln_Dortmund_0_4,20.1.2024,FC Koln,Dortmund,0,4,3.75,4.03,1.85,,,,3.8,4.0,1.82,3.7,4.05,1.87,,,
20.1.2024_Bochum_Stuttgart_1_0,20.1.2024,Bochum,Stuttgart,1,0,4.18,3.85,1.81,,,,4.2,3.8,1.8,4.15,3.9,1.82,,,
20.1.2024_Darmstadt_Eintracht Frankfurt_2_2,20.1.2024,Darmstadt,Eintracht Frankfurt,2,2,3.75,3.53,2.01,,,,3.8,3.6,1.98,3.7,3.45,2.05,,,
20.1.2024_Freiburg_Hoffenheim_3_2,20.1.2024,Freiburg,Hoffenheim,3,2,2.04,3.8,3.4,,,,2.02,3.8,3.4,2.05,3.8,3.4,,,
26.11.2023_Hoffenheim_Mainz_1_1,26.11.2023,Hoffenheim,Mainz,1,1,1.87,3.85,3.85,,,,1.88,3.8,3.8,1.85,3.9,3.9,,,
26.11.2023_Heidenheim_Bochum_0_0,26.11.2023,Heidenheim,Bochum,0,0,2.34,3.55,2.95,,,,2.36,3.6,2.9,2.32,3.5,3.0,,,
25.11.2023_Eintracht Frankfurt_Stuttgart_1_2,25.11.2023,Eintracht Frankfurt,Stuttgart,1,2,2.85,3.47,2.48,,,,2.9,3.4,2.5,2.8,3.55,2.45,,,
25.11.2023_Dortmund_B. Monchengladbach_4_2,25.11.2023,Dortmund,B. Monchengladbach,4,2,1.53,4.88,5.25,,,,1.56,4.75,5.0,1.5,5.0,5.5,,,
25.11.2023_Freiburg_Darmstadt_1_1,25.11.2023,Freiburg,Darmstadt,1,1,1.52,4.43,5.95,,,,1.51,4.5,6.0,1.53,4.35,5.9,,,
25.11.2023_Union Berlin_Augsburg_1_1,25.11.2023,Union Berlin,Augsburg,1,1,1.99,3.48,3.85,,,,2.0,3.5,3.8,1.98,3.45,3.9,,,
25.11.2023_Werder Bremen_Bayer Leverkusen_0_3,25.11.2023,Werder Bremen,Bayer Leverkusen,0,3,5.9,4.8,1.49,,,,6.0,4.75,1.48,5.8,4.85,1.5,,,
25.11.2023_Wolfsburg_RB Leipzig_2_1,25.11.2023,Wolfsburg,RB Leipzig,2,1,3.7,3.85,1.92,,,,3.7,3.8,1.93,3.7,3.9,1.91,,,
24.11.2023_FC Koln_Bayern Munich_0_1,24.11.2023,FC Koln,Bayern Munich,0,1,9.13,6.15,1.29,,,,9.5,6.0,1.29,8.75,6.3,1.28,,,
12.11.2023_RB Leipzig_Freiburg_3_1,12.11.2023,RB Leipzig,Freiburg,3,1,1.44,4.75,7.1,,,,,,,1.44,4.75,7.1,,,
12.11.2023_Werder Bremen_Eintracht Frankfurt_2_2,12.11.2023,Werder Bremen,Eintracht Frankfurt,2,2,2.65,3.55,2.57,,,,,,,2.65,3.55,2.57,,,
12.11.2023_Bayer Leverkusen_Union Berlin_4_0,12.11.2023,Bayer Leverkusen,Union Berlin,4,0,1.35,5.2,8.5,,,,,,,1.35,5.2,8.5,,,
11.11.2023_Bochum_FC Koln_1_1,11.11.2023,Bochum,FC Koln,1,1,2.6,3.5,2.65,,,,,,,2.6,3.5,2.65,,,
11.11.2023_Augsburg_Hoffenheim_1_1,11.11.2023,Augsburg,Hoffenheim,1,1,2.4,3.7,2.77,,,,,,,2.4,3.7,2.77,,,
11.11.2023_Bayern Munich_Heidenheim_4_2,11.11.2023,Bayern Munich,Heidenheim,4,2,1.12,9.25,21.0,,,,,,,1.12,9.25,21.0,,,
11.11.2023_Darmstadt_Mainz_0_0,11.11.2023,Darmstadt,Mainz,0,0,3.15,3.4,2.3,,,,,,,3.15,3.4,2.3,,,
11.11.2023_Stuttgart_Dortmund_2_1,11.11.2023,Stuttgart,Dortmund,2,1,2.42,3.8,2.67,,,,,,,2.42,3.8,2.67,,,
10.11.2023_B. Monchengladbach_Wolfsburg_4_0,10.11.2023,B. Monchengladbach,Wolfsburg,4,0,2.37,3.8,2.75,,,,,,,2.37,3.8,2.75,,,
5.11.2023_Heidenheim_Stuttgart_2_0,5.11.2023,Heidenheim,Stuttgart,2,0,5.3,4.25,1.6,,,,,,,5.3,4.25,1.6,,,
5.11.2023_Wolfsburg_Werder Bremen_2_2,5.11.2023,Wolfsburg,Werder Bremen,2,2,1.75,4.2,4.2,,,,,,,1.75,4.2,4.2,,,
4.11.2023_Dortmund_Bayern Munich_0_4,4.11.2023,Dortmund,Bayern Munich,0,4,3.8,4.4,1.78,,,,,,,3.8,4.4,1.78,,,
4.11.2023_FC Koln_Augsburg_1_1,4.11.2023,FC Koln,Augsburg,1,1,2.07,3.75,3.35,,,,,,,2.07,3.75,3.35,,,
4.11.2023_Freiburg_B. Monchengladbach_3_3,4.11.2023,Freiburg,B. Monchengladbach,3,3,2.02,3.7,3.55,,,,,,,2.02,3.7,3.55,,,
4.11.2023_Hoffenheim_Bayer Leverkusen_2_3,4.11.2023,Hoffenheim,Bayer Leverkusen,2,3,5.2,4.7,1.55,,,,,,,5.2,4.7,1.55,,,
4.11.2023_Mainz_RB Leipzig_2_0,4.11.2023,Mainz,RB Leipzig,2,0,4.45,3.95,1.75,,,,,,,4.45,3.95,1.75,,,
4.11.2023_Union Berlin_Eintracht Frankfurt_0_3,4.11.2023,Union Berlin,Eintracht Frankfurt,0,3,2.52,3.15,3.0,,,,,,,2.52,3.15,3.0,,,
3.11.2023_Darmstadt_Bochum_1_2,3.11.2023,Darmstadt,Bochum,1,2,2.32,3.45,3.05,,,,,,,2.32,3.45,3.05,,,
29.10.2023_Bayer Leverkusen_Freiburg_2_1,29.10.2023,Bayer Leverkusen,Freiburg,2,1,1.34,5.25,8.88,,,,1.41,4.7,6.5,1.27,5.8,11.25,,,
29.10.2023_Eintracht Frankfurt_Dortmund_3_3,29.10.2023,Eintracht Frankfurt,Dortmund,3,3,3.1,3.53,2.17,,,,3.05,3.6,2.1,3.15,3.45,2.25,,,
28.10.2023_RB Leipzig_FC Koln_6_0,28.10.2023,RB Leipzig,FC Koln,6,0,1.44,4.72,6.7,,,,1.35,5.1,7.2,1.52,4.35,6.2,,,
28.10.2023_Augsburg_Wolfsburg_3_2,28.10.2023,Augsburg,Wolfsburg,3,2,2.8,3.53,2.42,,,,3.1,3.5,2.1,2.5,3.55,2.75,,,
28.10.2023_B. Monchengladbach_Heidenheim_2_1,28.10.2023,B. Monchengladbach,Heidenheim,2,1,1.8,3.98,3.93,,,,1.9,3.75,3.45,1.7,4.2,4.4,,,
28.10.2023_Bayern Munich_Darmstadt_8_0,28.10.2023,Bayern Munich,Darmstadt,8,0,1.09,10.23,21.25,,,,1.09,9.2,18.5,1.09,11.25,24.0,,,
28.10.2023_Stuttgart_Hoffenheim_2_3,28.10.2023,Stuttgart,Hoffenheim,2,3,1.69,4.13,4.35,,,,1.72,3.95,4.0,1.65,4.3,4.7,,,
28.10.2023_Werder Bremen_Union Berlin_2_0,28.10.2023,Werder Bremen,Union Berlin,2,0,2.75,3.33,2.51,,,,2.7,3.3,2.5,2.8,3.35,2.52,,,
27.10.2023_Bochum_Mainz_2_2,27.10.2023,Bochum,Mainz,2,2,2.55,3.47,2.65,,,,2.3,3.55,2.8,2.8,3.4,2.5,,,
22.10.2023_Heidenheim_Augsburg_2_5,22.10.2023,Heidenheim,Augsburg,2,5,2.29,3.53,2.93,,,,2.25,3.5,2.85,2.32,3.55,3.0,,,
22.10.2023_FC Koln_B. Monchengladbach_3_1,22.10.2023,FC Koln,B. Monchengladbach,3,1,2.33,3.55,2.84,,,,2.2,3.5,2.95,2.45,3.6,2.72,,,
21.10.2023_Mainz_Bayern Munich_1_3,21.10.2023,Mainz,Bayern Munich,1,3,7.7,5.9,1.31,,,,7.6,6.0,1.28,7.8,5.8,1.33,,,
21.10.2023_Darmstadt_RB Leipzig_1_3,21.10.2023,Darmstadt,RB Leipzig,1,3,5.9,4.8,1.46,,,,6.1,4.8,1.42,5.7,4.8,1.5,,,
21.10.2023_Freiburg_Bochum_2_1,21.10.2023,Freiburg,Bochum,2,1,1.75,3.75,4.47,,,,1.67,3.8,4.6,1.82,3.7,4.35,,,
21.10.2023_Hoffenheim_Eintracht Frankfurt_1_3,21.10.2023,Hoffenheim,Eintracht Frankfurt,1,3,2.03,3.58,3.45,,,,2.05,3.55,3.2,2.0,3.6,3.7,,,
21.10.2023_Union Berlin_Stuttgart_0_3,21.10.2023,Union Berlin,Stuttgart,0,3,2.56,3.3,2.69,,,,2.55,3.3,2.6,2.57,3.3,2.77,,,
21.10.2023_Wolfsburg_Bayer Leverkusen_1_2,21.10.2023,Wolfsburg,Bayer Leverkusen,1,2,3.9,3.85,1.83,,,,3.6,3.75,1.85,4.2,3.95,1.8,,,
20.10.2023_Dortmund_Werder Bremen_1_0,20.10.2023,Dortmund,Werder Bremen,1,0,1.34,5.8,7.4,,,,1.37,5.5,6.8,1.31,6.1,8.0,,,
8.10.2023_Eintracht Frankfurt_Heidenheim_2_0,8.10.2023,Eintracht Frankfurt,Heidenheim,2,0,1.76,3.85,4.65,,,,1.8,3.9,4.5,1.72,3.8,4.8,,,
8.10.2023_Bayern Munich_Freiburg_3_0,8.10.2023,Bayern Munich,Freiburg,3,0,1.13,9.63,18.0,,,,1.11,10.75,21.0,1.15,8.5,15.0,,,
