Match_ID,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
13.8.2021_Mönchengladbach_Bayern_1_1,13.8.2021,Spieltag 1 von 34,Mönchengladbach,Bayern,1,1
14.8.2021_Union Berlin_Leverkusen_1_1,14.8.2021,Spieltag 1 von 34,Union Berlin,Leverkusen,1,1
14.8.2021_Augsburg_Hoffenheim_0_4,14.8.2021,Spieltag 1 von 34,Augsburg,Hoffenheim,0,4
14.8.2021_Arminia_Freiburg_0_0,14.8.2021,Spieltag 1 von 34,Arminia,Freiburg,0,0
14.8.2021_Wolfsburg_Bochum_1_0,14.8.2021,Spieltag 1 von 34,Wolfsburg,Bochum,1,0
14.8.2021_VfB Stuttgart_Greuther Fürth_5_1,14.8.2021,Spieltag 1 von 34,VfB Stuttgart,Greuther Fürth,5,1
14.8.2021_Dortmund_Eintracht Frankfurt_5_2,14.8.2021,Spieltag 1 von 34,Dortmund,Eintracht Frankfurt,5,2
15.8.2021_Mainz_RB Leipzig_1_0,15.8.2021,Spieltag 1 von 34,Mainz,RB Leipzig,1,0
15.8.2021_Köln_Hertha_3_1,15.8.2021,Spieltag 1 von 34,Köln,Hertha,3,1
20.8.2021_RB Leipzig_VfB Stuttgart_4_0,20.8.2021,Spieltag 2 von 34,RB Leipzig,VfB Stuttgart,4,0
21.8.2021_Hertha_Wolfsburg_1_2,21.8.2021,Spieltag 2 von 34,Hertha,Wolfsburg,1,2
21.8.2021_Bochum_Mainz_2_0,21.8.2021,Spieltag 2 von 34,Bochum,Mainz,2,0
21.8.2021_Freiburg_Dortmund_2_1,21.8.2021,Spieltag 2 von 34,Freiburg,Dortmund,2,1
21.8.2021_Eintracht Frankfurt_Augsburg_0_0,21.8.2021,Spieltag 2 von 34,Eintracht Frankfurt,Augsburg,0,0
21.8.2021_Greuther Fürth_Arminia_1_1,21.8.2021,Spieltag 2 von 34,Greuther Fürth,Arminia,1,1
21.8.2021_Leverkusen_Mönchengladbach_4_0,21.8.2021,Spieltag 2 von 34,Leverkusen,Mönchengladbach,4,0
22.8.2021_Hoffenheim_Union Berlin_2_2,22.8.2021,Spieltag 2 von 34,Hoffenheim,Union Berlin,2,2
22.8.2021_Bayern_Köln_3_2,22.8.2021,Spieltag 2 von 34,Bayern,Köln,3,2
27.8.2021_Dortmund_Hoffenheim_3_2,27.8.2021,Spieltag 3 von 34,Dortmund,Hoffenheim,3,2
28.8.2021_VfB Stuttgart_Freiburg_2_3,28.8.2021,Spieltag 3 von 34,VfB Stuttgart,Freiburg,2,3
28.8.2021_Mainz_Greuther Fürth_3_0,28.8.2021,Spieltag 3 von 34,Mainz,Greuther Fürth,3,0
28.8.2021_Köln_Bochum_2_1,28.8.2021,Spieltag 3 von 34,Köln,Bochum,2,1
28.8.2021_Arminia_Eintracht Frankfurt_1_1,28.8.2021,Spieltag 3 von 34,Arminia,Eintracht Frankfurt,1,1
28.8.2021_Augsburg_Leverkusen_1_4,28.8.2021,Spieltag 3 von 34,Augsburg,Leverkusen,1,4
28.8.2021_Bayern_Hertha_5_0,28.8.2021,Spieltag 3 von 34,Bayern,Hertha,5,0
29.8.2021_Union Berlin_Mönchengladbach_2_1,29.8.2021,Spieltag 3 von 34,Union Berlin,Mönchengladbach,2,1
29.8.2021_Wolfsburg_RB Leipzig_1_0,29.8.2021,Spieltag 3 von 34,Wolfsburg,RB Leipzig,1,0
11.9.2021_Leverkusen_Dortmund_3_4,11.9.2021,Spieltag 4 von 34,Leverkusen,Dortmund,3,4
11.9.2021_Union Berlin_Augsburg_0_0,11.9.2021,Spieltag 4 von 34,Union Berlin,Augsburg,0,0
11.9.2021_Freiburg_Köln_1_1,11.9.2021,Spieltag 4 von 34,Freiburg,Köln,1,1
11.9.2021_Greuther Fürth_Wolfsburg_0_2,11.9.2021,Spieltag 4 von 34,Greuther Fürth,Wolfsburg,0,2
11.9.2021_Hoffenheim_Mainz_0_2,11.9.2021,Spieltag 4 von 34,Hoffenheim,Mainz,0,2
11.9.2021_RB Leipzig_Bayern_1_4,11.9.2021,Spieltag 4 von 34,RB Leipzig,Bayern,1,4
12.9.2021_Eintracht Frankfurt_VfB Stuttgart_1_1,12.9.2021,Spieltag 4 von 34,Eintracht Frankfurt,VfB Stuttgart,1,1
12.9.2021_Bochum_Hertha_1_3,12.9.2021,Spieltag 4 von 34,Bochum,Hertha,1,3
12.9.2021_Mönchengladbach_Arminia_3_1,12.9.2021,Spieltag 4 von 34,Mönchengladbach,Arminia,3,1
17.9.2021_Hertha_Greuther Fürth_2_1,17.9.2021,Spieltag 5 von 34,Hertha,Greuther Fürth,2,1
18.9.2021_Bayern_Bochum_7_0,18.9.2021,Spieltag 5 von 34,Bayern,Bochum,7,0
18.9.2021_Augsburg_Mönchengladbach_1_0,18.9.2021,Spieltag 5 von 34,Augsburg,Mönchengladbach,1,0
18.9.2021_Mainz_Freiburg_0_0,18.9.2021,Spieltag 5 von 34,Mainz,Freiburg,0,0
18.9.2021_Arminia_Hoffenheim_0_0,18.9.2021,Spieltag 5 von 34,Arminia,Hoffenheim,0,0
18.9.2021_Köln_RB Leipzig_1_1,18.9.2021,Spieltag 5 von 34,Köln,RB Leipzig,1,1
19.9.2021_VfB Stuttgart_Leverkusen_1_3,19.9.2021,Spieltag 5 von 34,VfB Stuttgart,Leverkusen,1,3
19.9.2021_Dortmund_Union Berlin_4_2,19.9.2021,Spieltag 5 von 34,Dortmund,Union Berlin,4,2
19.9.2021_Wolfsburg_Eintracht Frankfurt_1_1,19.9.2021,Spieltag 5 von 34,Wolfsburg,Eintracht Frankfurt,1,1
24.9.2021_Greuther Fürth_Bayern_1_3,24.9.2021,Spieltag 6 von 34,Greuther Fürth,Bayern,1,3
25.9.2021_Hoffenheim_Wolfsburg_3_1,25.9.2021,Spieltag 6 von 34,Hoffenheim,Wolfsburg,3,1
25.9.2021_Union Berlin_Arminia_1_0,25.9.2021,Spieltag 6 von 34,Union Berlin,Arminia,1,0
25.9.2021_Leverkusen_Mainz_1_0,25.9.2021,Spieltag 6 von 34,Leverkusen,Mainz,1,0
25.9.2021_RB Leipzig_Hertha_6_0,25.9.2021,Spieltag 6 von 34,RB Leipzig,Hertha,6,0
25.9.2021_Eintracht Frankfurt_Köln_1_1,25.9.2021,Spieltag 6 von 34,Eintracht Frankfurt,Köln,1,1
25.9.2021_Mönchengladbach_Dortmund_1_0,25.9.2021,Spieltag 6 von 34,Mönchengladbach,Dortmund,1,0
26.9.2021_Bochum_VfB Stuttgart_0_0,26.9.2021,Spieltag 6 von 34,Bochum,VfB Stuttgart,0,0
26.9.2021_Freiburg_Augsburg_3_0,26.9.2021,Spieltag 6 von 34,Freiburg,Augsburg,3,0
1.10.2021_Köln_Greuther Fürth_3_1,1.10.2021,Spieltag 7 von 34,Köln,Greuther Fürth,3,1
2.10.2021_Hertha_Freiburg_1_2,2.10.2021,Spieltag 7 von 34,Hertha,Freiburg,1,2
2.10.2021_VfB Stuttgart_Hoffenheim_3_1,2.10.2021,Spieltag 7 von 34,VfB Stuttgart,Hoffenheim,3,1
2.10.2021_Wolfsburg_Mönchengladbach_1_3,2.10.2021,Spieltag 7 von 34,Wolfsburg,Mönchengladbach,1,3
2.10.2021_Dortmund_Augsburg_2_1,2.10.2021,Spieltag 7 von 34,Dortmund,Augsburg,2,1
2.10.2021_RB Leipzig_Bochum_3_0,2.10.2021,Spieltag 7 von 34,RB Leipzig,Bochum,3,0
3.10.2021_Mainz_Union Berlin_1_2,3.10.2021,Spieltag 7 von 34,Mainz,Union Berlin,1,2
3.10.2021_Bayern_Eintracht Frankfurt_1_2,3.10.2021,Spieltag 7 von 34,Bayern,Eintracht Frankfurt,1,2
3.10.2021_Arminia_Leverkusen_0_4,3.10.2021,Spieltag 7 von 34,Arminia,Leverkusen,0,4
15.10.2021_Hoffenheim_Köln_5_0,15.10.2021,Spieltag 8 von 34,Hoffenheim,Köln,5,0
16.10.2021_Union Berlin_Wolfsburg_2_0,16.10.2021,Spieltag 8 von 34,Union Berlin,Wolfsburg,2,0
16.10.2021_Eintracht Frankfurt_Hertha_1_2,16.10.2021,Spieltag 8 von 34,Eintracht Frankfurt,Hertha,1,2
16.10.2021_Dortmund_Mainz_3_1,16.10.2021,Spieltag 8 von 34,Dortmund,Mainz,3,1
16.10.2021_Freiburg_RB Leipzig_1_1,16.10.2021,Spieltag 8 von 34,Freiburg,RB Leipzig,1,1
16.10.2021_Greuther Fürth_Bochum_0_1,16.10.2021,Spieltag 8 von 34,Greuther Fürth,Bochum,0,1
16.10.2021_Mönchengladbach_VfB Stuttgart_1_1,16.10.2021,Spieltag 8 von 34,Mönchengladbach,VfB Stuttgart,1,1
17.10.2021_Leverkusen_Bayern_1_5,17.10.2021,Spieltag 8 von 34,Leverkusen,Bayern,1,5
17.10.2021_Augsburg_Arminia_1_1,17.10.2021,Spieltag 8 von 34,Augsburg,Arminia,1,1
22.10.2021_Mainz_Augsburg_4_1,22.10.2021,Spieltag 9 von 34,Mainz,Augsburg,4,1
23.10.2021_Bayern_Hoffenheim_4_0,23.10.2021,Spieltag 9 von 34,Bayern,Hoffenheim,4,0
23.10.2021_RB Leipzig_Greuther Fürth_4_1,23.10.2021,Spieltag 9 von 34,RB Leipzig,Greuther Fürth,4,1
23.10.2021_Arminia_Dortmund_1_3,23.10.2021,Spieltag 9 von 34,Arminia,Dortmund,1,3
