,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
15.4.2023_RB Leipzig_Augsburg_3_2,15.4.2023,RB Leipzig,Augsburg,3,2,1.22,6.5,12.75,,,,1.22,6.5,12.75,,,,,,
15.4.2023_Stuttgart_Dortmund_3_3,15.4.2023,Stuttgart,Dortmund,3,3,2.9,3.85,2.25,,,,2.9,3.85,2.25,,,,,,
14.4.2023_Schalke_Hertha Berlin_5_2,14.4.2023,Schalke,Hertha Berlin,5,2,2.3,3.3,3.2,,,,2.3,3.3,3.2,,,,,,
9.4.2023_Hoffenheim_Schalke_2_0,9.4.2023,Hoffenheim,Schalke,2,0,1.9,3.75,3.75,,,,1.9,3.75,3.75,,,,,,
9.4.2023_Bochum_Stuttgart_2_3,9.4.2023,Bochum,Stuttgart,2,3,2.95,3.3,2.45,,,,2.95,3.3,2.45,,,,,,
9.4.2023_B. Monchengladbach_Wolfsburg_2_0,9.4.2023,B. Monchengladbach,Wolfsburg,2,0,2.5,3.55,2.75,,,,2.5,3.55,2.75,,,,,,
8.4.2023_Hertha Berlin_RB Leipzig_0_1,8.4.2023,Hertha Berlin,RB Leipzig,0,1,5.0,3.9,1.67,,,,5.0,3.9,1.67,,,,,,
8.4.2023_Augsburg_FC Koln_1_3,8.4.2023,Augsburg,FC Koln,1,3,3.1,3.4,2.3,,,,3.1,3.4,2.3,,,,,,
8.4.2023_Bayer Leverkusen_Eintracht Frankfurt_3_1,8.4.2023,Bayer Leverkusen,Eintracht Frankfurt,3,1,1.95,3.7,3.75,,,,1.95,3.7,3.75,,,,,,
8.4.2023_Dortmund_Union Berlin_2_1,8.4.2023,Dortmund,Union Berlin,2,1,1.67,4.1,4.7,,,,1.67,4.1,4.7,,,,,,
8.4.2023_Freiburg_Bayern Munich_0_1,8.4.2023,Freiburg,Bayern Munich,0,1,6.1,4.8,1.47,,,,6.1,4.8,1.47,,,,,,
8.4.2023_Mainz_Werder Bremen_2_2,8.4.2023,Mainz,Werder Bremen,2,2,1.75,3.8,4.7,,,,1.75,3.8,4.7,,,,,,
2.4.2023_Werder Bremen_Hoffenheim_1_2,2.4.2023,Werder Bremen,Hoffenheim,1,2,2.33,3.45,2.75,,,,2.33,3.45,2.75,,,,,,
2.4.2023_FC Koln_B. Monchengladbach_0_0,2.4.2023,FC Koln,B. Monchengladbach,0,0,2.06,3.5,3.25,,,,2.06,3.5,3.25,,,,,,
1.4.2023_Bayern Munich_Dortmund_4_2,1.4.2023,Bayern Munich,Dortmund,4,2,1.46,4.8,5.4,,,,1.46,4.8,5.4,,,,,,
1.4.2023_Freiburg_Hertha Berlin_1_1,1.4.2023,Freiburg,Hertha Berlin,1,1,1.7,3.75,4.5,,,,1.7,3.75,4.5,,,,,,
1.4.2023_RB Leipzig_Mainz_0_3,1.4.2023,RB Leipzig,Mainz,0,3,1.49,4.3,5.6,,,,1.49,4.3,5.6,,,,,,
1.4.2023_Schalke_Bayer Leverkusen_0_3,1.4.2023,Schalke,Bayer Leverkusen,0,3,3.9,3.75,1.9,,,,3.9,3.75,1.9,,,,,,
1.4.2023_Union Berlin_Stuttgart_3_0,1.4.2023,Union Berlin,Stuttgart,3,0,1.98,3.3,3.65,,,,1.98,3.3,3.65,,,,,,
1.4.2023_Wolfsburg_Augsburg_2_2,1.4.2023,Wolfsburg,Augsburg,2,2,1.56,4.1,5.2,,,,1.56,4.1,5.2,,,,,,
31.3.2023_Eintracht Frankfurt_Bochum_1_1,31.3.2023,Eintracht Frankfurt,Bochum,1,1,1.57,4.1,5.0,,,,1.57,4.1,5.0,,,,,,
19.3.2023_Mainz_Freiburg_1_1,19.3.2023,Mainz,Freiburg,1,1,2.15,3.45,3.25,,,,2.15,3.45,3.25,,,,,,
19.3.2023_Bayer Leverkusen_Bayern Munich_2_1,19.3.2023,Bayer Leverkusen,Bayern Munich,2,1,4.5,4.5,1.65,,,,4.5,4.5,1.65,,,,,,
19.3.2023_Union Berlin_Eintracht Frankfurt_2_0,19.3.2023,Union Berlin,Eintracht Frankfurt,2,0,2.39,3.2,3.05,,,,2.39,3.2,3.05,,,,,,
18.3.2023_Dortmund_FC Koln_6_1,18.3.2023,Dortmund,FC Koln,6,1,1.46,4.8,6.4,,,,1.46,4.8,6.4,,,,,,
18.3.2023_Augsburg_Schalke_1_1,18.3.2023,Augsburg,Schalke,1,1,2.31,3.45,3.05,,,,2.31,3.45,3.05,,,,,,
18.3.2023_Bochum_RB Leipzig_1_0,18.3.2023,Bochum,RB Leipzig,1,0,5.6,4.4,1.56,,,,5.6,4.4,1.56,,,,,,
18.3.2023_Hoffenheim_Hertha Berlin_3_1,18.3.2023,Hoffenheim,Hertha Berlin,3,1,2.11,3.5,3.45,,,,2.11,3.5,3.45,,,,,,
18.3.2023_Stuttgart_Wolfsburg_0_1,18.3.2023,Stuttgart,Wolfsburg,0,1,2.42,3.4,2.9,,,,2.42,3.4,2.9,,,,,,
17.3.2023_B. Monchengladbach_Werder Bremen_2_2,17.3.2023,B. Monchengladbach,Werder Bremen,2,2,1.83,3.95,4.0,,,,1.83,3.95,4.0,,,,,,
12.3.2023_Wolfsburg_Union Berlin_1_1,12.3.2023,Wolfsburg,Union Berlin,1,1,2.7,3.1,2.8,,,,,,,,,,,,
12.3.2023_Werder Bremen_Bayer Leverkusen_2_3,12.3.2023,Werder Bremen,Bayer Leverkusen,2,3,3.6,3.4,2.05,,,,,,,,,,,,
12.3.2023_Freiburg_Hoffenheim_2_1,12.3.2023,Freiburg,Hoffenheim,2,1,1.83,3.6,4.33,,,,,,,,,,,,
11.3.2023_Schalke_Dortmund_2_2,11.3.2023,Schalke,Dortmund,2,2,4.2,3.75,1.8,,,,,,,,,,,,
11.3.2023_Bayern Munich_Augsburg_5_3,11.3.2023,Bayern Munich,Augsburg,5,3,1.09,11.0,23.0,,,,,,,,,,,,
11.3.2023_Eintracht Frankfurt_Stuttgart_1_1,11.3.2023,Eintracht Frankfurt,Stuttgart,1,1,2.1,3.5,3.4,,,,,,,,,,,,
11.3.2023_Hertha Berlin_Mainz_1_1,11.3.2023,Hertha Berlin,Mainz,1,1,3.0,3.5,2.3,,,,,,,,,,,,
11.3.2023_RB Leipzig_B. Monchengladbach_3_0,11.3.2023,RB Leipzig,B. Monchengladbach,3,0,1.36,5.5,7.5,,,,,,,,,,,,
10.3.2023_FC Koln_Bochum_0_2,10.3.2023,FC Koln,Bochum,0,2,1.7,3.75,5.0,,,,,,,,,,,,
5.3.2023_Wolfsburg_Eintracht Frankfurt_2_2,5.3.2023,Wolfsburg,Eintracht Frankfurt,2,2,2.4,3.5,2.8,,,,,,,,,,,,
5.3.2023_Bayer Leverkusen_Hertha Berlin_4_1,5.3.2023,Bayer Leverkusen,Hertha Berlin,4,1,1.5,4.2,7.0,,,,,,,,,,,,
4.3.2023_Stuttgart_Bayern Munich_1_2,4.3.2023,Stuttgart,Bayern Munich,1,2,7.0,5.0,1.44,,,,,,,,,,,,
4.3.2023_Augsburg_Werder Bremen_2_1,4.3.2023,Augsburg,Werder Bremen,2,1,2.2,3.5,3.1,,,,,,,,,,,,
4.3.2023_B. Monchengladbach_Freiburg_0_0,4.3.2023,B. Monchengladbach,Freiburg,0,0,2.25,3.6,3.1,,,,,,,,,,,,
4.3.2023_Bochum_Schalke_0_2,4.3.2023,Bochum,Schalke,0,2,2.63,3.25,2.75,,,,,,,,,,,,
4.3.2023_Mainz_Hoffenheim_1_0,4.3.2023,Mainz,Hoffenheim,1,0,1.91,3.6,4.0,,,,,,,,,,,,
4.3.2023_Union Berlin_FC Koln_0_0,4.3.2023,Union Berlin,FC Koln,0,0,2.05,3.1,4.2,,,,,,,,,,,,
3.3.2023_Dortmund_RB Leipzig_2_1,3.3.2023,Dortmund,RB Leipzig,2,1,2.3,3.5,3.0,,,,,,,,,,,,
26.2.2023_Bayern Munich_Union Berlin_3_0,26.2.2023,Bayern Munich,Union Berlin,3,0,1.44,4.6,7.0,,,,,,,,,,,,
26.2.2023_Freiburg_Bayer Leverkusen_1_1,26.2.2023,Freiburg,Bayer Leverkusen,1,1,2.38,3.5,2.9,,,,,,,,,,,,
25.2.2023_Schalke_Stuttgart_2_1,25.2.2023,Schalke,Stuttgart,2,1,3.1,3.4,2.25,,,,,,,,,,,,
25.2.2023_FC Koln_Wolfsburg_0_2,25.2.2023,FC Koln,Wolfsburg,0,2,2.3,3.4,3.0,,,,,,,,,,,,
25.2.2023_Hertha Berlin_Augsburg_2_0,25.2.2023,Hertha Berlin,Augsburg,2,0,2.05,3.6,3.4,,,,,,,,,,,,
25.2.2023_Hoffenheim_Dortmund_0_1,25.2.2023,Hoffenheim,Dortmund,0,1,4.2,4.5,1.67,,,,,,,,,,,,
25.2.2023_RB Leipzig_Eintracht Frankfurt_2_1,25.2.2023,RB Leipzig,Eintracht Frankfurt,2,1,1.62,4.0,5.25,,,,,,,,,,,,
25.2.2023_Werder Bremen_Bochum_3_0,25.2.2023,Werder Bremen,Bochum,3,0,1.91,3.8,3.8,,,,,,,,,,,,
24.2.2023_Mainz_B. Monchengladbach_4_0,24.2.2023,Mainz,B. Monchengladbach,4,0,2.15,3.6,3.2,,,,,,,,,,,,
19.2.2023_Bayer Leverkusen_Mainz_2_3,19.2.2023,Bayer Leverkusen,Mainz,2,3,1.91,3.75,3.8,,,,,,,,,,,,
19.2.2023_Dortmund_Hertha Berlin_4_1,19.2.2023,Dortmund,Hertha Berlin,4,1,1.36,5.5,6.5,,,,,,,,,,,,
19.2.2023_Union Berlin_Schalke_0_0,19.2.2023,Union Berlin,Schalke,0,0,1.7,3.5,5.5,,,,,,,,,,,,
18.2.2023_Eintracht Frankfurt_Werder Bremen_2_0,18.2.2023,Eintracht Frankfurt,Werder Bremen,2,0,1.53,4.5,5.75,,,,,,,,,,,,
18.2.2023_B. Monchengladbach_Bayern Munich_3_2,18.2.2023,B. Monchengladbach,Bayern Munich,3,2,7.0,5.0,1.4,,,,,,,,,,,,
18.2.2023_Bochum_Freiburg_0_2,18.2.2023,Bochum,Freiburg,0,2,2.8,3.3,2.5,,,,,,,,,,,,
18.2.2023_Stuttgart_FC Koln_3_0,18.2.2023,Stuttgart,FC Koln,3,0,2.2,3.4,3.25,,,,,,,,,,,,
18.2.2023_Wolfsburg_RB Leipzig_0_3,18.2.2023,Wolfsburg,RB Leipzig,0,3,2.9,3.6,2.3,,,,,,,,,,,,
17.2.2023_Augsburg_Hoffenheim_1_0,17.2.2023,Augsburg,Hoffenheim,1,0,2.55,3.6,2.6,,,,,,,,,,,,
12.2.2023_FC Koln_Eintracht Frankfurt_3_0,12.2.2023,FC Koln,Eintracht Frankfurt,3,0,2.7,3.4,2.55,,,,,,,,,,,,
12.2.2023_Hertha Berlin_B. Monchengladbach_4_1,12.2.2023,Hertha Berlin,B. Monchengladbach,4,1,2.8,3.4,2.5,,,,,,,,,,,,
11.2.2023_RB Leipzig_Union Berlin_1_2,11.2.2023,RB Leipzig,Union Berlin,1,2,1.75,3.5,5.0,,,,,,,,,,,,
11.2.2023_Bayern Munich_Bochum_3_0,11.2.2023,Bayern Munich,Bochum,3,0,1.13,9.5,17.0,,,,,,,,,,,,
11.2.2023_Freiburg_Stuttgart_2_1,11.2.2023,Freiburg,Stuttgart,2,1,2.0,3.5,3.7,,,,,,,,,,,,
11.2.2023_Hoffenheim_Bayer Leverkusen_1_3,11.2.2023,Hoffenheim,Bayer Leverkusen,1,3,2.63,3.5,2.63,,,,,,,,,,,,
11.2.2023_Mainz_Augsburg_3_1,11.2.2023,Mainz,Augsburg,3,1,1.8,4.0,4.2,,,,,,,,,,,,
11.2.2023_Werder Bremen_Dortmund_0_2,11.2.2023,Werder Bremen,Dortmund,0,2,4.33,4.2,1.7,,,,,,,,,,,,
10.2.2023_Schalke_Wolfsburg_0_0,10.2.2023,Schalke,Wolfsburg,0,0,3.4,3.75,2.05,,,,,,,,,,,,
5.2.2023_Wolfsburg_Bayern Munich_2_4,5.2.2023,Wolfsburg,Bayern Munich,2,4,5.5,4.5,1.53,,,,,,,,,,,,
5.2.2023_Stuttgart_Werder Bremen_0_2,5.2.2023,Stuttgart,Werder Bremen,0,2,1.8,3.75,4.5,,,,,,,,,,,,
4.2.2023_B. Monchengladbach_Schalke_0_0,4.2.2023,B. Monchengladbach,Schalke,0,0,1.57,4.5,5.0,,,,,,,,,,,,
4.2.2023_FC Koln_RB Leipzig_0_0,4.2.2023,FC Koln,RB Leipzig,0,0,3.8,3.5,1.95,,,,,,,,,,,,
4.2.2023_Bochum_Hoffenheim_5_2,4.2.2023,Bochum,Hoffenheim,5,2,2.75,3.3,2.6,,,,,,,,,,,,
4.2.2023_Dortmund_Freiburg_5_1,4.2.2023,Dortmund,Freiburg,5,1,1.67,4.0,5.0,,,,,,,,,,,,
4.2.2023_Eintracht Frankfurt_Hertha Berlin_3_0,4.2.2023,Eintracht Frankfurt,Hertha Berlin,3,0,1.53,4.2,6.0,,,,,,,,,,,,
4.2.2023_Union Berlin_Mainz_2_1,4.2.2023,Union Berlin,Mainz,2,1,1.91,3.5,4.33,,,,,,,,,,,,
3.2.2023_Augsburg_Bayer Leverkusen_1_0,3.2.2023,Augsburg,Bayer Leverkusen,1,0,3.75,3.8,1.91,,,,,,,,,,,,
29.1.2023_Bayer Leverkusen_Dortmund_0_2,29.1.2023,Bayer Leverkusen,Dortmund,0,2,2.45,3.75,2.63,,,,,,,,,,,,
29.1.2023_Schalke_FC Koln_0_0,29.1.2023,Schalke,FC Koln,0,0,3.75,3.75,1.95,,,,,,,,,,,,
28.1.2023_Bayern Munich_Eintracht Frankfurt_1_1,28.1.2023,Bayern Munich,Eintracht Frankfurt,1,1,1.36,5.75,7.0,,,,,,,,,,,,
28.1.2023_Freiburg_Augsburg_3_1,28.1.2023,Freiburg,Augsburg,3,1,1.65,4.0,5.25,,,,,,,,,,,,
28.1.2023_Hertha Berlin_Union Berlin_0_2,28.1.2023,Hertha Berlin,Union Berlin,0,2,3.6,3.1,2.2,,,,,,,,,,,,
28.1.2023_Hoffenheim_B. Monchengladbach_1_4,28.1.2023,Hoffenheim,B. Monchengladbach,1,4,2.0,3.75,3.6,,,,,,,,,,,,
28.1.2023_Mainz_Bochum_5_2,28.1.2023,Mainz,Bochum,5,2,1.8,3.75,4.33,,,,,,,,,,,,
28.1.2023_Werder Bremen_Wolfsburg_2_1,28.1.2023,Werder Bremen,Wolfsburg,2,1,3.5,3.6,2.0,,,,,,,,,,,,
27.1.2023_RB Leipzig_Stuttgart_2_1,27.1.2023,RB Leipzig,Stuttgart,2,1,1.3,5.0,11.0,,,,,,,,,,,,
25.1.2023_Augsburg_B. Monchengladbach_1_0,25.1.2023,Augsburg,B. Monchengladbach,1,0,3.1,3.75,2.15,,,,,,,,,,,,
25.1.2023_Bayer Leverkusen_Bochum_2_0,25.1.2023,Bayer Leverkusen,Bochum,2,0,1.45,4.75,6.5,,,,,,,,,,,,
25.1.2023_Freiburg_Eintracht Frankfurt_1_1,25.1.2023,Freiburg,Eintracht Frankfurt,1,1,2.3,3.4,3.1,,,,,,,,,,,,
25.1.2023_Werder Bremen_Union Berlin_1_2,25.1.2023,Werder Bremen,Union Berlin,1,2,2.9,3.1,2.6,,,,,,,,,,,,
25.1.2023_Mainz_Dortmund_1_2,25.1.2023,Mainz,Dortmund,1,2,3.1,3.75,2.15,,,,,,,,,,,,
24.1.2023_Bayern Munich_FC Koln_1_1,24.1.2023,Bayern Munich,FC Koln,1,1,1.2,7.5,11.0,,,,,,,,,,,,
24.1.2023_Hertha Berlin_Wolfsburg_0_5,24.1.2023,Hertha Berlin,Wolfsburg,0,5,2.88,3.4,2.4,,,,,,,,,,,,
24.1.2023_Hoffenheim_Stuttgart_2_2,24.1.2023,Hoffenheim,Stuttgart,2,2,2.1,3.6,3.3,,,,,,,,,,,,
24.1.2023_Schalke_RB Leipzig_1_6,24.1.2023,Schalke,RB Leipzig,1,6,6.0,4.2,1.53,,,,,,,,,,,,
22.1.2023_B. Monchengladbach_Bayer Leverkusen_2_3,22.1.2023,B. Monchengladbach,Bayer Leverkusen,2,3,2.75,3.75,2.38,,,,,,,,,,,,
22.1.2023_Dortmund_Augsburg_4_3,22.1.2023,Dortmund,Augsburg,4,3,1.25,6.5,10.0,,,,,,,,,,,,
21.1.2023_FC Koln_Werder Bremen_7_1,21.1.2023,FC Koln,Werder Bremen,7,1,2.0,3.75,3.6,,,,,,,,,,,,
