,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
5.6.2023_Hamburger SV_Stuttgart_1_3,5.6.2023,Hamburger SV,Stuttgart,1,3,3.0,3.75,2.25,,,,3.0,3.75,2.25,,,,,,
1.6.2023_Stuttgart_Hamburger SV_3_0,1.6.2023,Stuttgart,Hamburger SV,3,0,1.67,4.2,4.7,,,,1.67,4.2,4.7,,,,,,
27.5.2023_FC Koln_Bayern Munich_1_2,27.5.2023,FC Koln,Bayern Munich,1,2,5.6,5.3,1.49,,,,5.6,5.3,1.49,,,,,,
27.5.2023_B. Monchengladbach_Augsburg_2_0,27.5.2023,B. Monchengladbach,Augsburg,2,0,2.0,3.95,3.35,,,,2.0,3.95,3.35,,,,,,
27.5.2023_Bochum_Bayer Leverkusen_3_0,27.5.2023,Bochum,Bayer Leverkusen,3,0,4.3,4.4,1.7,,,,4.3,4.4,1.7,,,,,,
27.5.2023_Dortmund_Mainz_2_2,27.5.2023,Dortmund,Mainz,2,2,1.22,7.8,11.0,,,,1.22,7.8,11.0,,,,,,
27.5.2023_Eintracht Frankfurt_Freiburg_2_1,27.5.2023,Eintracht Frankfurt,Freiburg,2,1,2.0,3.8,3.4,,,,2.0,3.8,3.4,,,,,,
27.5.2023_RB Leipzig_Schalke_4_2,27.5.2023,RB Leipzig,Schalke,4,2,1.57,5.0,4.9,,,,1.57,5.0,4.9,,,,,,
27.5.2023_Union Berlin_Werder Bremen_1_0,27.5.2023,Union Berlin,Werder Bremen,1,0,1.48,4.7,6.1,,,,1.48,4.7,6.1,,,,,,
27.5.2023_Stuttgart_Hoffenheim_1_1,27.5.2023,Stuttgart,Hoffenheim,1,1,1.55,4.7,5.4,,,,1.55,4.7,5.4,,,,,,
27.5.2023_Wolfsburg_Hertha Berlin_1_2,27.5.2023,Wolfsburg,Hertha Berlin,1,2,1.27,6.5,9.0,,,,1.27,6.5,9.0,,,,,,
21.5.2023_Bayer Leverkusen_B. Monchengladbach_2_2,21.5.2023,Bayer Leverkusen,B. Monchengladbach,2,2,1.29,6.1,8.8,,,,1.29,6.1,8.8,,,,,,
21.5.2023_Augsburg_Dortmund_0_3,21.5.2023,Augsburg,Dortmund,0,3,6.1,5.6,1.43,,,,6.1,5.6,1.43,,,,,,
21.5.2023_Mainz_Stuttgart_1_4,21.5.2023,Mainz,Stuttgart,1,4,2.8,3.45,2.5,,,,2.8,3.45,2.5,,,,,,
20.5.2023_Bayern Munich_RB Leipzig_1_3,20.5.2023,Bayern Munich,RB Leipzig,1,3,1.55,5.0,5.3,,,,1.55,5.0,5.3,,,,,,
20.5.2023_Hertha Berlin_Bochum_1_1,20.5.2023,Hertha Berlin,Bochum,1,1,2.4,3.75,2.75,,,,2.4,3.75,2.75,,,,,,
20.5.2023_Hoffenheim_Union Berlin_4_2,20.5.2023,Hoffenheim,Union Berlin,4,2,2.45,3.3,2.95,,,,2.45,3.3,2.95,,,,,,
20.5.2023_Schalke_Eintracht Frankfurt_2_2,20.5.2023,Schalke,Eintracht Frankfurt,2,2,2.75,3.7,2.4,,,,2.75,3.7,2.4,,,,,,
20.5.2023_Werder Bremen_FC Koln_1_1,20.5.2023,Werder Bremen,FC Koln,1,1,2.45,3.7,2.65,,,,2.45,3.7,2.65,,,,,,
19.5.2023_Freiburg_Wolfsburg_2_0,19.5.2023,Freiburg,Wolfsburg,2,0,2.2,3.7,3.1,,,,2.2,3.7,3.1,,,,,,
14.5.2023_RB Leipzig_Werder Bremen_2_1,14.5.2023,RB Leipzig,Werder Bremen,2,1,1.24,6.7,10.25,,,,1.24,6.7,10.25,,,,,,
14.5.2023_Stuttgart_Bayer Leverkusen_1_1,14.5.2023,Stuttgart,Bayer Leverkusen,1,1,2.55,3.5,2.7,,,,2.55,3.5,2.7,,,,,,
13.5.2023_Dortmund_B. Monchengladbach_5_2,13.5.2023,Dortmund,B. Monchengladbach,5,2,1.22,7.8,10.0,,,,1.22,7.8,10.0,,,,,,
13.5.2023_Bayern Munich_Schalke_6_0,13.5.2023,Bayern Munich,Schalke,6,0,1.15,9.0,14.5,,,,1.15,9.0,14.5,,,,,,
13.5.2023_Bochum_Augsburg_3_2,13.5.2023,Bochum,Augsburg,3,2,2.25,3.6,3.05,,,,2.25,3.6,3.05,,,,,,
13.5.2023_Eintracht Frankfurt_Mainz_3_0,13.5.2023,Eintracht Frankfurt,Mainz,3,0,2.1,3.7,3.35,,,,2.1,3.7,3.35,,,,,,
13.5.2023_Union Berlin_Freiburg_4_2,13.5.2023,Union Berlin,Freiburg,4,2,2.05,3.15,4.0,,,,2.05,3.15,4.0,,,,,,
13.5.2023_Wolfsburg_Hoffenheim_2_1,13.5.2023,Wolfsburg,Hoffenheim,2,1,1.95,4.0,3.5,,,,1.95,4.0,3.5,,,,,,
12.5.2023_FC Koln_Hertha Berlin_5_2,12.5.2023,FC Koln,Hertha Berlin,5,2,1.85,3.85,3.95,,,,1.85,3.85,3.95,,,,,,
7.5.2023_Dortmund_Wolfsburg_6_0,7.5.2023,Dortmund,Wolfsburg,6,0,1.5,5.1,5.2,,,,1.5,5.1,5.2,,,,,,
6.5.2023_Werder Bremen_Bayern Munich_1_2,6.5.2023,Werder Bremen,Bayern Munich,1,2,9.4,6.8,1.26,,,,9.4,6.8,1.26,,,,,,
6.5.2023_Augsburg_Union Berlin_1_0,6.5.2023,Augsburg,Union Berlin,1,0,3.1,3.25,2.4,,,,3.1,3.25,2.4,,,,,,
6.5.2023_B. Monchengladbach_Bochum_2_0,6.5.2023,B. Monchengladbach,Bochum,2,0,2.1,3.75,3.3,,,,2.1,3.75,3.3,,,,,,
6.5.2023_Freiburg_RB Leipzig_0_1,6.5.2023,Freiburg,RB Leipzig,0,1,3.95,3.85,1.85,,,,3.95,3.85,1.85,,,,,,
6.5.2023_Hertha Berlin_Stuttgart_2_1,6.5.2023,Hertha Berlin,Stuttgart,2,1,2.95,3.5,2.35,,,,2.95,3.5,2.35,,,,,,
6.5.2023_Hoffenheim_Eintracht Frankfurt_3_1,6.5.2023,Hoffenheim,Eintracht Frankfurt,3,1,2.5,3.8,2.6,,,,2.5,3.8,2.6,,,,,,
5.5.2023_Bayer Leverkusen_FC Koln_1_2,5.5.2023,Bayer Leverkusen,FC Koln,1,2,1.6,4.2,5.3,,,,1.6,4.2,5.3,,,,,,
5.5.2023_Mainz_Schalke_2_3,5.5.2023,Mainz,Schalke,2,3,1.7,4.0,4.8,,,,1.7,4.0,4.8,,,,,,
30.4.2023_Wolfsburg_Mainz_3_0,30.4.2023,Wolfsburg,Mainz,3,0,2.25,3.6,3.05,,,,2.25,3.6,3.05,,,,,,
30.4.2023_Bayern Munich_Hertha Berlin_2_0,30.4.2023,Bayern Munich,Hertha Berlin,2,0,1.12,9.4,18.0,,,,1.12,9.4,18.0,,,,,,
29.4.2023_Schalke_Werder Bremen_2_1,29.4.2023,Schalke,Werder Bremen,2,1,2.4,3.65,2.75,,,,2.4,3.65,2.75,,,,,,
29.4.2023_FC Koln_Freiburg_0_1,29.4.2023,FC Koln,Freiburg,0,1,2.55,3.25,2.85,,,,2.55,3.25,2.85,,,,,,
29.4.2023_Eintracht Frankfurt_Augsburg_1_1,29.4.2023,Eintracht Frankfurt,Augsburg,1,1,1.6,4.4,5.2,,,,1.6,4.4,5.2,,,,,,
29.4.2023_RB Leipzig_Hoffenheim_1_0,29.4.2023,RB Leipzig,Hoffenheim,1,0,1.38,5.4,7.2,,,,1.38,5.4,7.2,,,,,,
29.4.2023_Union Berlin_Bayer Leverkusen_0_0,29.4.2023,Union Berlin,Bayer Leverkusen,0,0,2.85,3.25,2.55,,,,2.85,3.25,2.55,,,,,,
29.4.2023_Stuttgart_B. Monchengladbach_2_1,29.4.2023,Stuttgart,B. Monchengladbach,2,1,1.8,3.85,4.1,,,,1.8,3.85,4.1,,,,,,
28.4.2023_Bochum_Dortmund_1_1,28.4.2023,Bochum,Dortmund,1,1,5.6,5.2,1.47,,,,5.6,5.2,1.47,,,,,,
23.4.2023_B. Monchengladbach_Union Berlin_0_1,23.4.2023,B. Monchengladbach,Union Berlin,0,1,2.55,3.2,2.9,,,,2.55,3.2,2.9,,,,,,
23.4.2023_Bayer Leverkusen_RB Leipzig_2_0,23.4.2023,Bayer Leverkusen,RB Leipzig,2,0,2.65,3.4,2.65,,,,2.65,3.4,2.65,,,,,,
23.4.2023_Freiburg_Schalke_4_0,23.4.2023,Freiburg,Schalke,4,0,1.8,3.65,4.5,,,,1.8,3.65,4.5,,,,,,
22.4.2023_Dortmund_Eintracht Frankfurt_4_0,22.4.2023,Dortmund,Eintracht Frankfurt,4,0,1.57,4.7,4.9,,,,1.57,4.7,4.9,,,,,,
22.4.2023_Bochum_Wolfsburg_1_5,22.4.2023,Bochum,Wolfsburg,1,5,3.0,3.55,2.3,,,,3.0,3.55,2.3,,,,,,
22.4.2023_Hertha Berlin_Werder Bremen_2_4,22.4.2023,Hertha Berlin,Werder Bremen,2,4,2.35,3.45,3.0,,,,2.35,3.45,3.0,,,,,,
22.4.2023_Hoffenheim_FC Koln_1_3,22.4.2023,Hoffenheim,FC Koln,1,3,2.25,3.5,3.1,,,,2.25,3.5,3.1,,,,,,
22.4.2023_Mainz_Bayern Munich_3_1,22.4.2023,Mainz,Bayern Munich,3,1,5.8,4.7,1.52,,,,5.8,4.7,1.52,,,,,,
21.4.2023_Augsburg_Stuttgart_1_1,21.4.2023,Augsburg,Stuttgart,1,1,3.05,3.6,2.25,,,,3.05,3.6,2.25,,,,,,
16.4.2023_Wolfsburg_Bayer Leverkusen_0_0,16.4.2023,Wolfsburg,Bayer Leverkusen,0,0,2.7,3.6,2.5,,,,2.7,3.6,2.5,,,,,,
16.4.2023_Union Berlin_Bochum_1_1,16.4.2023,Union Berlin,Bochum,1,1,1.72,3.7,5.0,,,,1.72,3.7,5.0,,,,,,
16.4.2023_Werder Bremen_Freiburg_1_2,16.4.2023,Werder Bremen,Freiburg,1,2,2.7,3.25,2.7,,,,2.7,3.25,2.7,,,,,,
15.4.2023_Eintracht Frankfurt_B. Monchengladbach_1_1,15.4.2023,Eintracht Frankfurt,B. Monchengladbach,1,1,1.9,3.9,3.7,,,,1.9,3.9,3.7,,,,,,
15.4.2023_FC Koln_Mainz_1_1,15.4.2023,FC Koln,Mainz,1,1,2.8,3.15,2.7,,,,2.8,3.15,2.7,,,,,,
15.4.2023_Bayern Munich_Hoffenheim_1_1,15.4.2023,Bayern Munich,Hoffenheim,1,1,1.19,8.0,11.75,,,,1.19,8.0,11.75,,,,,,
