Match_ID,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
18.8.2023_Werder Bremen_Bayern_0_4,6.0,25.0,1.0,10.0,27.0,73.0,244.0,664.0,72.0,90.0,17.0,11.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0
19.8.2023_Wolfsburg_Heidenheim_2_0,18.0,14.0,8.0,1.0,48.0,52.0,472.0,484.0,82.0,79.0,10.0,9.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0
19.8.2023_Hoffenheim_Freiburg_1_2,22.0,18.0,4.0,9.0,51.0,49.0,449.0,450.0,78.0,77.0,9.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,2.0
19.8.2023_Augsburg_Mönchengladbach_4_4,20.0,10.0,7.0,6.0,57.0,43.0,479.0,371.0,84.0,76.0,9.0,13.0,1.0,2.0,0.0,0.0,4.0,1.0,8.0,7.0
19.8.2023_VfB Stuttgart_Bochum_5_0,21.0,4.0,9.0,1.0,61.0,39.0,547.0,366.0,86.0,75.0,5.0,12.0,1.0,1.0,0.0,0.0,2.0,2.0,7.0,0.0
19.8.2023_Leverkusen_RB Leipzig_3_2,11.0,14.0,7.0,6.0,44.0,56.0,442.0,557.0,81.0,85.0,13.0,10.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,5.0
19.8.2023_Dortmund_Köln_1_0,13.0,11.0,2.0,4.0,67.0,33.0,702.0,339.0,88.0,77.0,13.0,11.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0
20.8.2023_Union Berlin_Mainz_4_1,11.0,10.0,6.0,3.0,46.0,54.0,375.0,429.0,74.0,77.0,15.0,16.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0
20.8.2023_Eintracht Frankfurt_Darmstadt 98_1_0,9.0,10.0,3.0,2.0,62.0,38.0,578.0,355.0,86.0,78.0,9.0,14.0,2.0,3.0,0.0,0.0,0.0,2.0,7.0,3.0
25.8.2023_RB Leipzig_VfB Stuttgart_5_1,20.0,9.0,11.0,4.0,54.0,46.0,510.0,439.0,86.0,81.0,11.0,10.0,1.0,1.0,0.0,0.0,4.0,1.0,4.0,4.0
26.8.2023_Freiburg_Werder Bremen_1_0,23.0,15.0,7.0,2.0,49.0,51.0,448.0,462.0,76.0,73.0,9.0,8.0,2.0,2.0,0.0,0.0,3.0,2.0,5.0,5.0
26.8.2023_Heidenheim_Hoffenheim_2_3,20.0,16.0,9.0,6.0,37.0,63.0,281.0,489.0,69.0,84.0,13.0,9.0,1.0,5.0,0.0,0.0,0.0,1.0,10.0,6.0
26.8.2023_Köln_Wolfsburg_1_2,13.0,9.0,2.0,6.0,49.0,51.0,441.0,476.0,77.0,76.0,6.0,10.0,1.0,5.0,0.0,0.0,6.0,0.0,6.0,1.0
26.8.2023_Darmstadt 98_Union Berlin_1_4,21.0,13.0,6.0,6.0,74.0,26.0,623.0,223.0,85.0,57.0,15.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0
26.8.2023_Bochum_Dortmund_1_1,20.0,14.0,7.0,3.0,34.0,66.0,275.0,521.0,65.0,76.0,21.0,7.0,2.0,1.0,0.0,0.0,6.0,0.0,5.0,4.0
26.8.2023_Mönchengladbach_Leverkusen_0_3,12.0,24.0,2.0,11.0,40.0,60.0,453.0,705.0,83.0,88.0,7.0,8.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,8.0
27.8.2023_Mainz_Eintracht Frankfurt_1_1,12.0,7.0,6.0,1.0,39.0,61.0,323.0,497.0,66.0,75.0,23.0,12.0,3.0,2.0,0.0,1.0,2.0,0.0,5.0,4.0
27.8.2023_Bayern_Augsburg_3_1,19.0,10.0,5.0,2.0,61.0,39.0,603.0,394.0,88.0,81.0,14.0,8.0,1.0,2.0,0.0,0.0,1.0,2.0,10.0,4.0
1.9.2023_Dortmund_Heidenheim_2_2,19.0,14.0,8.0,6.0,63.0,37.0,515.0,298.0,83.0,69.0,9.0,22.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,6.0
2.9.2023_Augsburg_Bochum_2_2,11.0,21.0,4.0,8.0,37.0,63.0,268.0,464.0,59.0,72.0,15.0,13.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,5.0
2.9.2023_Leverkusen_Darmstadt 98_5_1,25.0,5.0,13.0,1.0,73.0,27.0,774.0,297.0,90.0,70.0,8.0,11.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0
2.9.2023_Hoffenheim_Wolfsburg_3_1,10.0,13.0,5.0,7.0,39.0,61.0,338.0,523.0,76.0,85.0,12.0,15.0,2.0,2.0,0.0,0.0,4.0,0.0,3.0,3.0
2.9.2023_Werder Bremen_Mainz_4_0,13.0,13.0,6.0,3.0,45.0,55.0,389.0,455.0,70.0,71.0,18.0,14.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,7.0
2.9.2023_VfB Stuttgart_Freiburg_5_0,13.0,13.0,6.0,7.0,48.0,52.0,497.0,534.0,86.0,84.0,9.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0
2.9.2023_Mönchengladbach_Bayern_1_2,7.0,25.0,3.0,8.0,35.0,65.0,340.0,625.0,73.0,88.0,5.0,20.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0
3.9.2023_Eintracht Frankfurt_Köln_1_1,13.0,7.0,3.0,2.0,65.0,35.0,718.0,381.0,87.0,74.0,10.0,10.0,1.0,3.0,0.0,0.0,2.0,0.0,8.0,1.0
3.9.2023_Union Berlin_RB Leipzig_0_3,3.0,14.0,1.0,7.0,34.0,66.0,338.0,643.0,71.0,84.0,16.0,9.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,7.0
15.9.2023_Bayern_Leverkusen_2_2,16.0,13.0,9.0,5.0,52.0,48.0,599.0,565.0,86.0,86.0,6.0,6.0,0.0,3.0,0.0,0.0,1.0,3.0,7.0,4.0
16.9.2023_Freiburg_Dortmund_2_4,15.0,15.0,4.0,7.0,49.0,51.0,415.0,428.0,80.0,82.0,12.0,16.0,2.0,3.0,1.0,0.0,3.0,2.0,6.0,8.0
16.9.2023_Wolfsburg_Union Berlin_2_1,8.0,19.0,3.0,6.0,43.0,57.0,412.0,532.0,78.0,83.0,7.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,7.0
16.9.2023_Mainz_VfB Stuttgart_1_3,15.0,15.0,3.0,6.0,39.0,61.0,370.0,587.0,73.0,83.0,12.0,9.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,4.0
16.9.2023_RB Leipzig_Augsburg_3_0,9.0,16.0,6.0,5.0,55.0,45.0,504.0,409.0,84.0,79.0,16.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0
16.9.2023_Köln_Hoffenheim_1_3,18.0,13.0,7.0,5.0,57.0,43.0,414.0,341.0,77.0,70.0,15.0,14.0,2.0,4.0,1.0,0.0,3.0,1.0,13.0,4.0
