,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
0,18.8.2023,Spieltag 1 von 34,Werder Bremen,Bayern,0,4,6,25,1,10,27,73,244,664,72,90,17,11,2,1,0,0,3,0,0,6
1,19.8.2023,Spieltag 1 von 34,Wolfsburg,Heidenheim,2,0,18,14,8,1,48,52,472,484,82,79,10,9,3,0,0,0,2,0,1,7
2,19.8.2023,Spieltag 1 von 34,Hoffenheim,Freiburg,1,2,22,18,4,9,51,49,449,450,78,77,9,9,0,1,0,0,3,0,4,2
3,19.8.2023,Spieltag 1 von 34,Augsburg,Mönchengladbach,4,4,20,10,7,6,57,43,479,371,84,76,9,13,1,2,0,0,4,1,8,7
4,19.8.2023,Spieltag 1 von 34,VfB Stuttgart,Bochum,5,0,21,4,9,1,61,39,547,366,86,75,5,12,1,1,0,0,2,2,7,0
5,19.8.2023,Spieltag 1 von 34,Leverkusen,RB Leipzig,3,2,11,14,7,6,44,56,442,557,81,85,13,10,1,2,0,0,2,0,4,5
6,19.8.2023,Spieltag 1 von 34,Dortmund,Köln,1,0,13,11,2,4,67,33,702,339,88,77,13,11,1,0,0,0,1,2,6,3
7,20.8.2023,Spieltag 1 von 34,Union Berlin,Mainz,4,1,11,10,6,3,46,54,375,429,74,77,15,16,1,5,0,0,1,0,3,1
8,20.8.2023,Spieltag 1 von 34,Eintracht Frankfurt,Darmstadt 98,1,0,9,10,3,2,62,38,578,355,86,78,9,14,2,3,0,0,0,2,7,3
9,25.8.2023,Spieltag 2 von 34,RB Leipzig,VfB Stuttgart,5,1,20,9,11,4,54,46,510,439,86,81,11,10,1,1,0,0,4,1,4,4
10,26.8.2023,Spieltag 2 von 34,Freiburg,Werder Bremen,1,0,23,15,7,2,49,51,448,462,76,73,9,8,2,2,0,0,3,2,5,5
11,26.8.2023,Spieltag 2 von 34,Heidenheim,Hoffenheim,2,3,20,16,9,6,37,63,281,489,69,84,13,9,1,5,0,0,0,1,10,6
12,26.8.2023,Spieltag 2 von 34,Köln,Wolfsburg,1,2,13,9,2,6,49,51,441,476,77,76,6,10,1,5,0,0,6,0,6,1
13,26.8.2023,Spieltag 2 von 34,Darmstadt 98,Union Berlin,1,4,21,13,6,6,74,26,623,223,85,57,15,12,2,0,0,1,0,0,3,5
14,26.8.2023,Spieltag 2 von 34,Bochum,Dortmund,1,1,20,14,7,3,34,66,275,521,65,76,21,7,2,1,0,0,6,0,5,4
15,26.8.2023,Spieltag 2 von 34,Mönchengladbach,Leverkusen,0,3,12,24,2,11,40,60,453,705,83,88,7,8,2,3,0,0,1,2,5,8
16,27.8.2023,Spieltag 2 von 34,Mainz,Eintracht Frankfurt,1,1,12,7,6,1,39,61,323,497,66,75,23,12,3,2,0,1,2,0,5,4
17,27.8.2023,Spieltag 2 von 34,Bayern,Augsburg,3,1,19,10,5,2,61,39,603,394,88,81,14,8,1,2,0,0,1,2,10,4
18,1.9.2023,Spieltag 3 von 34,Dortmund,Heidenheim,2,2,19,14,8,6,63,37,515,298,83,69,9,22,3,3,0,0,2,3,3,6
19,2.9.2023,Spieltag 3 von 34,Augsburg,Bochum,2,2,11,21,4,8,37,63,268,464,59,72,15,13,2,2,0,0,1,3,3,5
20,2.9.2023,Spieltag 3 von 34,Leverkusen,Darmstadt 98,5,1,25,5,13,1,73,27,774,297,90,70,8,11,3,2,0,0,1,1,4,2
21,2.9.2023,Spieltag 3 von 34,Hoffenheim,Wolfsburg,3,1,10,13,5,7,39,61,338,523,76,85,12,15,2,2,0,0,4,0,3,3
22,2.9.2023,Spieltag 3 von 34,Werder Bremen,Mainz,4,0,13,13,6,3,45,55,389,455,70,71,18,14,2,2,0,0,1,4,1,7
23,2.9.2023,Spieltag 3 von 34,VfB Stuttgart,Freiburg,5,0,13,13,6,7,48,52,497,534,86,84,9,10,1,1,0,0,1,1,2,4
24,2.9.2023,Spieltag 3 von 34,Mönchengladbach,Bayern,1,2,7,25,3,8,35,65,340,625,73,88,5,20,0,2,0,0,0,1,1,15
25,3.9.2023,Spieltag 3 von 34,Eintracht Frankfurt,Köln,1,1,13,7,3,2,65,35,718,381,87,74,10,10,1,3,0,0,2,0,8,1
26,3.9.2023,Spieltag 3 von 34,Union Berlin,RB Leipzig,0,3,3,14,1,7,34,66,338,643,71,84,16,9,3,1,1,0,1,2,3,7
27,15.9.2023,Spieltag 4 von 34,Bayern,Leverkusen,2,2,16,13,9,5,52,48,599,565,86,86,6,6,0,3,0,0,1,3,7,4
28,16.9.2023,Spieltag 4 von 34,Freiburg,Dortmund,2,4,15,15,4,7,49,51,415,428,80,82,12,16,2,3,1,0,3,2,6,8
29,16.9.2023,Spieltag 4 von 34,Wolfsburg,Union Berlin,2,1,8,19,3,6,43,57,412,532,78,83,7,7,1,0,0,0,3,1,3,7
30,16.9.2023,Spieltag 4 von 34,Mainz,VfB Stuttgart,1,3,15,15,3,6,39,61,370,587,73,83,12,9,1,2,0,0,1,1,6,4
31,16.9.2023,Spieltag 4 von 34,RB Leipzig,Augsburg,3,0,9,16,6,5,55,45,504,409,84,79,16,12,0,0,0,0,2,1,1,6
32,16.9.2023,Spieltag 4 von 34,Köln,Hoffenheim,1,3,18,13,7,5,57,43,414,341,77,70,15,14,2,4,1,0,3,1,13,4
33,16.9.2023,Spieltag 4 von 34,Bochum,Eintracht Frankfurt,1,1,22,8,7,6,49,51,434,457,68,69,14,14,3,2,0,0,0,1,8,2
34,17.9.2023,Spieltag 4 von 34,Heidenheim,Werder Bremen,4,2,18,11,5,4,41,59,324,486,73,79,20,8,1,1,0,0,1,2,10,1
35,17.9.2023,Spieltag 4 von 34,Darmstadt 98,Mönchengladbach,3,3,15,22,8,10,36,64,316,556,75,87,12,8,1,1,1,0,4,1,6,6
36,22.9.2023,Spieltag 5 von 34,VfB Stuttgart,Darmstadt 98,3,1,18,4,11,0,58,42,641,459,87,79,7,12,1,6,0,0,1,2,5,4
37,23.9.2023,Spieltag 5 von 34,Augsburg,Mainz,2,1,5,12,3,3,41,59,377,531,72,78,16,15,2,3,1,0,1,2,3,4
38,23.9.2023,Spieltag 5 von 34,Bayern,Bochum,7,0,26,4,15,1,62,38,571,358,88,78,8,10,0,1,0,0,2,2,8,1
39,23.9.2023,Spieltag 5 von 34,Mönchengladbach,RB Leipzig,0,1,14,8,1,4,44,56,444,552,79,82,14,7,1,1,0,0,2,2,11,6
40,23.9.2023,Spieltag 5 von 34,Dortmund,Wolfsburg,1,0,18,7,4,1,65,35,614,334,87,76,9,14,0,1,0,0,2,2,5,3
41,23.9.2023,Spieltag 5 von 34,Union Berlin,Hoffenheim,0,2,22,11,6,3,57,43,480,388,77,73,11,13,1,3,0,0,0,1,11,6
42,23.9.2023,Spieltag 5 von 34,Werder Bremen,Köln,2,1,17,14,6,5,47,53,439,466,72,75,18,15,2,1,0,0,1,2,9,8
43,24.9.2023,Spieltag 5 von 34,Leverkusen,Heidenheim,4,1,21,2,10,2,72,28,822,321,91,75,9,10,1,1,0,0,2,0,7,2
44,24.9.2023,Spieltag 5 von 34,Eintracht Frankfurt,Freiburg,0,0,12,7,4,1,58,42,559,411,82,74,12,5,4,2,0,0,0,4,7,3
45,29.9.2023,Spieltag 6 von 34,Hoffenheim,Dortmund,1,3,15,6,3,5,53,47,431,388,81,77,14,16,3,3,0,1,0,2,4,3
46,30.9.2023,Spieltag 6 von 34,Mainz,Leverkusen,0,3,10,6,3,3,44,56,483,605,82,87,13,11,4,1,0,0,3,1,3,1
47,30.9.2023,Spieltag 6 von 34,Köln,VfB Stuttgart,0,2,14,18,5,4,39,61,364,580,81,87,16,8,2,1,0,0,2,1,8,4
48,30.9.2023,Spieltag 6 von 34,Heidenheim,Union Berlin,1,0,10,20,4,8,48,52,405,417,76,80,11,14,1,2,0,0,1,1,5,7
49,30.9.2023,Spieltag 6 von 34,Wolfsburg,Eintracht Frankfurt,2,0,18,8,8,4,54,46,487,429,83,78,11,18,1,4,0,1,4,3,7,4
50,30.9.2023,Spieltag 6 von 34,Bochum,Mönchengladbach,1,3,24,27,5,9,59,41,434,316,71,65,12,12,2,3,0,0,2,3,5,10
51,30.9.2023,Spieltag 6 von 34,RB Leipzig,Bayern,2,2,6,11,2,5,34,66,355,690,78,88,10,11,2,5,0,0,1,1,5,1
52,1.10.2023,Spieltag 6 von 34,Darmstadt 98,Werder Bremen,4,2,14,11,5,6,43,57,367,481,69,79,19,19,3,2,0,0,2,6,2,4
53,1.10.2023,Spieltag 6 von 34,Freiburg,Augsburg,2,0,7,13,3,3,54,46,453,395,75,72,13,17,2,2,0,0,0,2,2,3
54,6.10.2023,Spieltag 7 von 34,Mönchengladbach,Mainz,2,2,21,14,9,7,61,39,578,390,82,74,9,9,3,1,0,0,1,1,10,3
55,7.10.2023,Spieltag 7 von 34,RB Leipzig,Bochum,0,0,17,9,5,2,77,23,681,210,89,60,10,13,2,4,0,0,1,3,9,1
56,7.10.2023,Spieltag 7 von 34,VfB Stuttgart,Wolfsburg,3,1,14,12,8,5,60,40,573,391,85,75,13,14,1,3,0,0,5,0,5,6
57,7.10.2023,Spieltag 7 von 34,Dortmund,Union Berlin,4,2,14,13,7,5,67,33,615,294,87,69,7,15,1,1,0,0,1,5,4,6
58,7.10.2023,Spieltag 7 von 34,Augsburg,Darmstadt 98,1,2,18,17,3,5,46,54,360,427,76,80,13,12,4,2,0,0,6,1,4,4
59,7.10.2023,Spieltag 7 von 34,Werder Bremen,Hoffenheim,2,3,13,10,3,4,48,52,488,525,77,76,15,7,5,4,0,0,2,4,4,4
60,8.10.2023,Spieltag 7 von 34,Leverkusen,Köln,3,0,23,7,10,3,64,36,740,413,92,80,8,7,3,0,0,0,2,0,11,4
61,8.10.2023,Spieltag 7 von 34,Bayern,Freiburg,3,0,21,2,6,0,70,30,782,334,91,71,7,8,1,0,0,0,3,3,7,1
62,8.10.2023,Spieltag 7 von 34,Eintracht Frankfurt,Heidenheim,2,0,13,7,6,2,49,51,495,496,79,77,14,10,2,3,0,0,3,3,3,6
63,20.10.2023,Spieltag 8 von 34,Dortmund,Werder Bremen,1,0,23,5,5,1,58,42,572,420,86,80,5,10,1,5,0,0,0,0,10,4
64,21.10.2023,Spieltag 8 von 34,Wolfsburg,Leverkusen,1,2,18,13,6,7,41,59,431,619,79,87,15,14,3,5,0,0,1,2,4,3
65,21.10.2023,Spieltag 8 von 34,Darmstadt 98,RB Leipzig,1,3,18,10,4,7,58,42,422,321,78,66,16,12,6,3,0,0,2,4,6,0
66,21.10.2023,Spieltag 8 von 34,Union Berlin,VfB Stuttgart,0,3,9,10,1,5,42,58,412,590,75,84,12,12,2,1,0,0,4,0,4,2
67,21.10.2023,Spieltag 8 von 34,Hoffenheim,Eintracht Frankfurt,1,3,14,15,4,5,55,45,561,479,83,79,7,7,3,0,0,0,5,1,6,3
68,21.10.2023,Spieltag 8 von 34,Freiburg,Bochum,2,1,17,13,5,4,59,41,490,362,81,73,11,16,3,4,0,0,4,1,5,2
69,21.10.2023,Spieltag 8 von 34,Mainz,Bayern,1,3,16,13,3,5,38,62,364,607,79,86,12,10,3,2,0,0,1,1,2,7
70,22.10.2023,Spieltag 8 von 34,Köln,Mönchengladbach,3,1,23,5,8,2,61,39,542,362,81,73,13,10,0,2,0,1,1,0,8,3
71,22.10.2023,Spieltag 8 von 34,Heidenheim,Augsburg,2,5,15,9,5,6,60,40,554,372,84,79,11,11,3,2,0,0,1,1,6,5
72,27.10.2023,Spieltag 9 von 34,Bochum,Mainz,2,2,12,9,4,3,51,49,399,393,63,67,14,21,3,3,0,0,2,2,5,4
73,28.10.2023,Spieltag 9 von 34,Augsburg,Wolfsburg,3,2,8,13,5,6,39,61,344,529,77,83,17,15,4,4,1,0,6,2,5,5
74,28.10.2023,Spieltag 9 von 34,Werder Bremen,Union Berlin,2,0,10,7,4,2,57,43,579,431,84,78,12,14,1,4,0,1,3,5,3,3
75,28.10.2023,Spieltag 9 von 34,Bayern,Darmstadt 98,8,0,29,9,16,4,54,46,497,434,90,84,15,13,1,2,1,2,2,1,7,1
76,28.10.2023,Spieltag 9 von 34,Mönchengladbach,Heidenheim,2,1,13,9,6,4,54,46,598,501,85,84,5,17,0,3,0,0,1,0,6,4
77,28.10.2023,Spieltag 9 von 34,VfB Stuttgart,Hoffenheim,2,3,23,7,10,5,74,26,705,262,88,65,13,11,2,1,0,0,2,1,6,0
78,28.10.2023,Spieltag 9 von 34,RB Leipzig,Köln,6,0,26,6,13,2,63,37,567,349,88,81,8,13,2,2,0,1,1,2,11,1
79,29.10.2023,Spieltag 9 von 34,Eintracht Frankfurt,Dortmund,3,3,12,14,7,4,39,61,376,562,75,87,11,10,3,2,0,0,4,4,0,4
80,29.10.2023,Spieltag 9 von 34,Leverkusen,Freiburg,2,1,18,10,4,3,71,29,727,293,89,74,9,10,0,2,0,0,1,0,11,4
81,3.11.2023,Spieltag 10 von 34,Darmstadt 98,Bochum,1,2,15,9,4,4,60,40,428,309,69,61,7,16,2,5,1,0,2,2,11,2
82,4.11.2023,Spieltag 10 von 34,Union Berlin,Eintracht Frankfurt,0,3,11,4,3,3,49,51,464,512,83,81,13,8,0,1,0,0,3,3,9,1
83,4.11.2023,Spieltag 10 von 34,Freiburg,Mönchengladbach,3,3,16,10,9,5,59,41,585,423,86,80,7,10,2,2,0,0,1,4,8,2
84,4.11.2023,Spieltag 10 von 34,Hoffenheim,Leverkusen,2,3,12,9,7,5,47,53,502,559,86,87,6,10,3,2,0,0,0,2,4,3
85,4.11.2023,Spieltag 10 von 34,Mainz,RB Leipzig,2,0,10,10,3,2,32,68,309,648,67,82,13,9,3,1,0,0,5,0,2,7
86,4.11.2023,Spieltag 10 von 34,Köln,Augsburg,1,1,26,18,11,2,59,41,507,370,81,69,10,10,1,4,0,0,0,1,10,2
87,4.11.2023,Spieltag 10 von 34,Dortmund,Bayern,0,4,15,14,1,8,49,51,505,523,83,88,13,6,3,2,0,0,0,6,3,2
88,5.11.2023,Spieltag 10 von 34,Wolfsburg,Werder Bremen,2,2,14,13,4,4,57,43,545,419,84,83,15,16,2,1,1,0,1,6,5,2
89,5.11.2023,Spieltag 10 von 34,Heidenheim,VfB Stuttgart,2,0,19,17,3,2,30,70,258,621,62,85,7,13,2,2,0,0,1,2,9,6
90,10.11.2023,Spieltag 11 von 34,Mönchengladbach,Wolfsburg,4,0,15,12,8,4,46,54,486,548,82,87,7,12,1,3,0,0,2,1,8,5
91,11.11.2023,Spieltag 11 von 34,Darmstadt 98,Mainz,0,0,10,11,3,1,57,43,509,380,81,73,20,15,3,3,0,0,0,1,0,5
92,11.11.2023,Spieltag 11 von 34,Augsburg,Hoffenheim,1,1,11,12,6,6,33,67,289,590,73,85,9,11,1,2,0,0,3,2,3,5
93,11.11.2023,Spieltag 11 von 34,Bayern,Heidenheim,4,2,19,8,8,2,73,27,796,293,88,71,8,8,1,0,0,0,0,1,7,2
94,11.11.2023,Spieltag 11 von 34,VfB Stuttgart,Dortmund,2,1,22,5,10,1,59,41,634,439,86,79,13,16,2,3,0,0,2,1,6,1
95,11.11.2023,Spieltag 11 von 34,Bochum,Köln,1,1,25,11,9,6,52,48,387,369,70,69,14,19,4,1,0,0,1,1,3,3
96,12.11.2023,Spieltag 11 von 34,Leverkusen,Union Berlin,4,0,18,2,10,2,69,31,819,368,91,78,8,5,0,1,0,0,3,0,10,1
97,12.11.2023,Spieltag 11 von 34,Werder Bremen,Eintracht Frankfurt,2,2,13,14,5,4,48,52,527,549,83,85,3,10,1,3,0,0,1,2,3,7
98,12.11.2023,Spieltag 11 von 34,RB Leipzig,Freiburg,3,1,15,9,6,3,63,37,630,366,87,77,10,12,2,0,0,0,0,4,7,3
99,24.11.2023,Spieltag 12 von 34,Köln,Bayern,0,1,6,21,1,5,31,69,345,765,77,89,6,4,0,1,0,0,1,1,3,12
100,25.11.2023,Spieltag 12 von 34,Werder Bremen,Leverkusen,0,3,2,14,1,4,40,60,503,740,81,87,15,4,3,1,0,0,5,2,1,6
101,25.11.2023,Spieltag 12 von 34,Freiburg,Darmstadt 98,1,1,15,7,3,1,67,33,586,299,85,71,15,16,2,0,0,0,2,1,11,2
