,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
23.11.2024_Düsseldorf_Elversberg_0_2,22,12,6,4,60,40,514,360,86,80,8,9,2,1,0,0,2,0,12,6
23.11.2024_Hertha_SSV Ulm 1846_2_2,15,12,6,5,61,39,469,303,84,71,13,11,4,5,0,0,4,2,4,5
23.11.2024_Hannover 96_Darmstadt 98_1_2,20,14,7,8,41,59,359,528,82,83,12,12,1,3,0,0,2,1,5,4
23.11.2024_HSV_Schalke_2_2,18,9,6,2,47,53,421,475,86,85,8,11,2,2,0,0,1,2,2,4
24.11.2024_Jahn Regensburg_1. FC Magdeburg_0_1,13,9,2,3,37,63,292,500,68,80,11,13,4,4,0,0,1,1,7,4
24.11.2024_FCK_BTSV_3_2,14,10,7,6,51,49,390,369,76,73,15,14,1,4,0,0,3,4,7,6
29.11.2024_Schalke_FCK_0_3,17,15,4,9,55,45,452,384,79,71,14,18,1,4,0,0,7,1,7,3
29.11.2024_1. FC Magdeburg_Hertha_1_3,13,13,2,7,59,41,512,364,87,79,10,10,3,3,0,0,2,2,5,1
30.11.2024_Elversberg_SC Paderborn_1_3,5,15,2,6,45,55,429,511,81,83,10,11,3,1,0,0,2,1,1,6
30.11.2024_Köln_Hannover 96_2_2,15,7,3,2,70,30,598,258,86,62,15,10,1,1,0,1,7,0,10,4
30.11.2024_BTSV_Jahn Regensburg_0_0,8,17,1,5,60,40,465,305,80,71,16,11,3,3,0,0,0,0,2,10
30.11.2024_Darmstadt 98_Preußen Münster_0_0,15,4,1,2,70,30,701,308,88,73,9,18,3,4,0,0,3,1,6,1
1.12.2024_SSV Ulm 1846_Greuther Fürth_1_1,7,14,3,2,53,47,423,366,79,74,11,15,5,4,0,0,3,2,4,3
