,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
0,5.8.2022,Spieltag 1 von 34,Eintracht Frankfurt,Bayern,1,6,8,23,2,10,36,64,359,625,76,87,10,11,2,0,0,0,4,3,5,6
1,6.8.2022,Spieltag 1 von 34,Union Berlin,Hertha,3,1,19,7,8,3,48,52,353,383,76,78,23,17,2,3,0,0,2,1,5,4
2,6.8.2022,Spieltag 1 von 34,Mönchengladbach,Hoffenheim,3,1,18,2,7,1,62,38,611,383,88,78,18,12,1,2,0,1,2,2,5,1
3,6.8.2022,Spieltag 1 von 34,Bochum,Mainz,1,2,16,13,3,6,60,40,539,350,79,66,11,16,2,3,0,0,1,1,3,5
4,6.8.2022,Spieltag 1 von 34,Augsburg,Freiburg,0,4,11,19,2,7,53,47,376,332,77,72,13,13,0,0,0,0,0,2,5,8
5,6.8.2022,Spieltag 1 von 34,Wolfsburg,Werder Bremen,2,2,11,10,3,4,62,38,540,344,77,65,11,14,2,2,0,0,1,4,2,5
6,6.8.2022,Spieltag 1 von 34,Dortmund,Leverkusen,1,0,14,8,4,3,45,55,398,480,75,79,13,13,2,4,0,1,2,4,3,3
7,7.8.2022,Spieltag 1 von 34,VfB Stuttgart,RB Leipzig,1,1,11,28,2,9,32,68,281,578,70,83,14,9,2,1,0,0,1,2,1,9
8,7.8.2022,Spieltag 1 von 34,Köln,Schalke,3,1,32,5,12,2,76,24,610,206,87,61,8,10,0,1,0,1,2,1,9,1
9,12.8.2022,Spieltag 2 von 34,Freiburg,Dortmund,1,3,16,13,7,6,38,62,303,507,72,83,16,10,1,3,0,0,3,2,9,2
