,features,n_estimators,max_depth,min_samples_split,min_samples_leaf,train_acc,val_acc,train_f1,val_f1,train_mse,val_mse,train_r2,val_r2
0,basic,100,,2,1,1.0,0.5026455026455027,1.0,0.4792596784673751,0.6066892672329623,3.136121634332745,0.8603437514851997,0.15324715873015882
1,basic,100,,2,2,0.7996485061511424,0.5238095238095238,0.7904422400807942,0.45795709106785976,1.2873216266323557,3.0307446652979397,0.7036662444558945,0.18169894036955625
2,basic,100,,2,4,0.655536028119508,0.5026455026455027,0.6283943203523835,0.42447839494675116,2.137283123600012,2.9752456350758365,0.5080101805371864,0.19668367852952418
3,basic,100,,5,1,0.9525483304042179,0.5238095238095238,0.952479839694599,0.4938949106433971,0.9626783315818532,3.1025848493162003,0.7783971934621625,0.16230209068462598
4,basic,100,,5,2,0.7855887521968365,0.5026455026455027,0.7765104993280277,0.43999144032763693,1.3828579387916318,3.0242006196616336,0.681674355570245,0.18346583269135897
5,basic,100,,5,4,0.655536028119508,0.5026455026455027,0.6283943203523835,0.42447839494675116,2.137283123600012,2.9752456350758365,0.5080101805371864,0.19668367852952418
6,basic,100,,10,1,0.8418277680140598,0.4973544973544973,0.8380229297073777,0.44506997743712723,1.470052595652928,3.065860702290157,0.6616026659500824,0.17221761038165762
7,basic,100,,10,2,0.7346221441124781,0.5238095238095238,0.7170194473243917,0.4545642116668169,1.790510550985452,2.9048337185410276,0.5878351571682291,0.21569489599392255
8,basic,100,,10,4,0.6625659050966608,0.49206349206349204,0.6325069696627437,0.4156112250451873,2.215574477957677,2.9737784852834825,0.48998797801726635,0.19707980897345967
9,basic,100,10.0,2,1,0.7820738137082601,0.4708994708994709,0.7716135724413342,0.39566339422925334,1.5152020353647102,3.0604741592915214,0.6512095343862906,0.17367197699128922
10,basic,100,10.0,2,2,0.6309314586994728,0.49206349206349204,0.5863102981623608,0.41719726751173286,1.8646665907688518,2.9634382722547987,0.5707648793831975,0.19987166649120436
11,basic,100,10.0,2,4,0.6045694200351494,0.4708994708994709,0.5456938509360003,0.3898687294325924,2.3424174391500676,2.9801978932637634,0.4607894853664387,0.19534656881878387
12,basic,100,10.0,5,1,0.7152899824253075,0.49206349206349204,0.6902663225691493,0.4072504022544937,1.7270259276581972,3.0476702692413293,0.6024489385734886,0.17712902730484104
13,basic,100,10.0,5,2,0.632688927943761,0.4973544973544973,0.5862741570575233,0.4103684287170526,1.9212861244704933,2.9895969790989696,0.5577314006379863,0.19280881564327823
14,basic,100,10.0,5,4,0.6045694200351494,0.4708994708994709,0.5456938509360003,0.3898687294325924,2.3424174391500676,2.9801978932637634,0.4607894853664387,0.19534656881878387
15,basic,100,10.0,10,1,0.671353251318102,0.5185185185185185,0.6364003724779457,0.4440997267360193,2.0525803989597486,3.01406933448683,0.5275082422322501,0.18620127968855593
