Match_ID,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
5.10.2024_St. Pauli_Mainz_0_3,5.10.2024,Spieltag 6 von 34,St. Pauli,Mainz,0,3
6.10.2024_Heidenheim_RB Leipzig_0_1,6.10.2024,Spieltag 6 von 34,Heidenheim,RB Leipzig,0,1
6.10.2024_Eintracht Frankfurt_Bayern_3_3,6.10.2024,Spieltag 6 von 34,Eintracht Frankfurt,Bayern,3,3
6.10.2024_VfB Stuttgart_Hoffenheim_1_1,6.10.2024,Spieltag 6 von 34,VfB Stuttgart,Hoffenheim,1,1
18.10.2024_Dortmund_St. Pauli_2_1,18.10.2024,Spieltag 7 von 34,Dortmund,St. Pauli,2,1
19.10.2024_Mainz_RB Leipzig_0_2,19.10.2024,Spieltag 7 von 34,Mainz,RB Leipzig,0,2
19.10.2024_Hoffenheim_Bochum_3_1,19.10.2024,Spieltag 7 von 34,Hoffenheim,Bochum,3,1
19.10.2024_Freiburg_Augsburg_3_1,19.10.2024,Spieltag 7 von 34,Freiburg,Augsburg,3,1
19.10.2024_Leverkusen_Eintracht Frankfurt_2_1,19.10.2024,Spieltag 7 von 34,Leverkusen,Eintracht Frankfurt,2,1
19.10.2024_Mönchengladbach_Heidenheim_3_2,19.10.2024,Spieltag 7 von 34,Mönchengladbach,Heidenheim,3,2
19.10.2024_Bayern_VfB Stuttgart_4_0,19.10.2024,Spieltag 7 von 34,Bayern,VfB Stuttgart,4,0
20.10.2024_Holstein_Union Berlin_0_2,20.10.2024,Spieltag 7 von 34,Holstein,Union Berlin,0,2
20.10.2024_Wolfsburg_Werder Bremen_2_4,20.10.2024,Spieltag 7 von 34,Wolfsburg,Werder Bremen,2,4
25.10.2024_Mainz_Mönchengladbach_1_1,25.10.2024,Spieltag 8 von 34,Mainz,Mönchengladbach,1,1
26.10.2024_RB Leipzig_Freiburg_3_1,26.10.2024,Spieltag 8 von 34,RB Leipzig,Freiburg,3,1
26.10.2024_Augsburg_Dortmund_2_1,26.10.2024,Spieltag 8 von 34,Augsburg,Dortmund,2,1
26.10.2024_St. Pauli_Wolfsburg_0_0,26.10.2024,Spieltag 8 von 34,St. Pauli,Wolfsburg,0,0
26.10.2024_VfB Stuttgart_Holstein_2_1,26.10.2024,Spieltag 8 von 34,VfB Stuttgart,Holstein,2,1
26.10.2024_Werder Bremen_Leverkusen_2_2,26.10.2024,Spieltag 8 von 34,Werder Bremen,Leverkusen,2,2
27.10.2024_Bochum_Bayern_0_5,27.10.2024,Spieltag 8 von 34,Bochum,Bayern,0,5
27.10.2024_Union Berlin_Eintracht Frankfurt_1_1,27.10.2024,Spieltag 8 von 34,Union Berlin,Eintracht Frankfurt,1,1
27.10.2024_Heidenheim_Hoffenheim_0_0,27.10.2024,Spieltag 8 von 34,Heidenheim,Hoffenheim,0,0
1.11.2024_Leverkusen_VfB Stuttgart_0_0,1.11.2024,Spieltag 9 von 34,Leverkusen,VfB Stuttgart,0,0
2.11.2024_Eintracht Frankfurt_Bochum_7_2,2.11.2024,Spieltag 9 von 34,Eintracht Frankfurt,Bochum,7,2
2.11.2024_Holstein_Heidenheim_1_0,2.11.2024,Spieltag 9 von 34,Holstein,Heidenheim,1,0
