,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
26.10.2024_RB Leipzig_Freiburg_3_1,26.10.2024,RB Leipzig,Freiburg,3,1,1.79,3.88,4.21,1.77,4.0,4.0,1.8,3.85,4.3,1.82,3.85,4.2,1.77,3.9,4.2,False
26.10.2024_St. Pauli_Wolfsburg_0_0,26.10.2024,St. Pauli,Wolfsburg,0,0,2.5,3.4,2.78,2.45,3.5,2.75,2.55,3.4,2.8,2.52,3.35,2.82,2.5,3.4,2.75,False
26.10.2024_Stuttgart_Holstein Kiel_2_1,26.10.2024,Stuttgart,Holstein Kiel,2,1,1.2,7.17,11.4,1.17,7.5,9.5,1.18,7.5,13.0,1.23,6.8,11.0,1.21,7.25,12.0,False
25.10.2024_Mainz_B. Monchengladbach_1_1,25.10.2024,Mainz,B. Monchengladbach,1,1,2.26,3.68,2.93,2.25,3.75,2.87,2.25,3.7,2.95,2.32,3.6,2.95,2.25,3.7,2.9,False
20.10.2024_Wolfsburg_Werder Bremen_2_4,20.10.2024,Wolfsburg,Werder Bremen,2,4,1.98,3.69,3.56,1.92,3.75,3.6,2.0,3.65,3.55,2.0,3.65,3.6,2.0,3.7,3.5,False
20.10.2024_Holstein Kiel_Union Berlin_0_2,20.10.2024,Holstein Kiel,Union Berlin,0,2,3.69,3.45,2.02,3.6,3.5,2.0,3.85,3.45,2.0,3.65,3.45,2.05,3.6,3.4,2.05,False
19.10.2024_Bayern Munich_Stuttgart_4_0,19.10.2024,Bayern Munich,Stuttgart,4,0,1.3,6.0,8.58,1.3,5.5,8.0,1.3,6.25,8.5,1.31,5.8,8.75,1.29,6.25,8.75,False
19.10.2024_B. Monchengladbach_Heidenheim_3_2,19.10.2024,B. Monchengladbach,Heidenheim,3,2,1.89,3.66,3.91,1.87,3.7,3.8,1.95,3.5,4.0,1.88,3.65,4.05,1.88,3.75,3.8,False
19.10.2024_Bayer Leverkusen_Eintracht Frankfurt_2_1,19.10.2024,Bayer Leverkusen,Eintracht Frankfurt,2,1,1.47,4.64,6.22,1.41,4.5,6.5,1.5,4.6,6.5,1.5,4.6,6.2,1.47,4.8,6.0,False
19.10.2024_Freiburg_Augsburg_3_1,19.10.2024,Freiburg,Augsburg,3,1,1.65,3.91,5.13,1.58,3.9,5.25,1.65,3.9,5.5,1.7,3.85,5.0,1.68,3.9,5.0,False
19.10.2024_Hoffenheim_Bochum_3_1,19.10.2024,Hoffenheim,Bochum,3,1,1.51,4.78,5.35,1.45,5.25,5.25,1.55,4.5,5.5,1.52,4.8,5.4,1.49,4.8,5.5,False
19.10.2024_Mainz_RB Leipzig_0_2,19.10.2024,Mainz,RB Leipzig,0,2,3.88,3.84,1.85,3.8,3.9,1.8,4.0,3.85,1.85,3.85,3.8,1.9,3.75,3.8,1.88,False
18.10.2024_Dortmund_St. Pauli_2_1,18.10.2024,Dortmund,St. Pauli,2,1,1.3,5.46,10.05,1.25,5.5,11.0,1.33,5.25,9.5,1.31,5.3,10.25,1.3,5.75,9.5,False
6.10.2024_Stuttgart_Hoffenheim_1_1,6.10.2024,Stuttgart,Hoffenheim,1,1,1.32,5.89,7.82,,,,1.3,6.25,8.0,1.35,5.5,7.7,1.32,6.0,7.5,False
6.10.2024_Eintracht Frankfurt_Bayern Munich_3_3,6.10.2024,Eintracht Frankfurt,Bayern Munich,3,3,5.4,4.66,1.54,,,,5.5,4.9,1.55,5.4,4.45,1.57,5.25,4.6,1.53,False
6.10.2024_Heidenheim_RB Leipzig_0_1,6.10.2024,Heidenheim,RB Leipzig,0,1,4.74,3.98,1.7,,,,5.0,4.0,1.68,4.75,3.9,1.72,4.5,4.0,1.71,False
5.10.2024_St. Pauli_Mainz_0_3,5.10.2024,St. Pauli,Mainz,0,3,2.19,3.29,3.4,,,,2.25,3.3,3.35,2.18,3.25,3.55,2.15,3.3,3.3,False
5.10.2024_Bayer Leverkusen_Holstein Kiel_2_2,5.10.2024,Bayer Leverkusen,Holstein Kiel,2,2,1.09,10.75,27.75,,,,1.09,10.0,28.0,1.09,9.5,37.0,1.09,12.5,23.0,False
5.10.2024_Bochum_Wolfsburg_1_3,5.10.2024,Bochum,Wolfsburg,1,3,3.06,3.59,2.23,,,,3.15,3.5,2.25,3.05,3.6,2.25,2.95,3.7,2.2,False
5.10.2024_Union Berlin_Dortmund_2_1,5.10.2024,Union Berlin,Dortmund,2,1,3.68,3.49,2.01,,,,3.65,3.5,2.05,3.75,3.45,2.02,3.6,3.5,2.0,False
5.10.2024_Werder Bremen_Freiburg_0_1,5.10.2024,Werder Bremen,Freiburg,0,1,2.7,3.38,2.59,,,,2.75,3.3,2.65,2.7,3.35,2.62,2.65,3.4,2.55,False
4.10.2024_Augsburg_B. Monchengladbach_2_1,4.10.2024,Augsburg,B. Monchengladbach,2,1,2.4,3.65,2.77,,,,2.45,3.7,2.75,2.35,3.65,2.85,2.37,3.7,2.75,False
29.9.2024_Hoffenheim_Werder Bremen_3_4,29.9.2024,Hoffenheim,Werder Bremen,3,4,2.26,3.68,2.99,,,,2.3,3.7,3.0,2.25,3.65,3.05,2.25,3.7,2.95,False
29.9.2024_Holstein Kiel_Eintracht Frankfurt_2_4,29.9.2024,Holstein Kiel,Eintracht Frankfurt,2,4,3.6,3.8,1.95,,,,3.65,3.75,1.95,3.6,3.85,1.95,3.5,3.8,1.98,False
28.9.2024_Bayern Munich_Bayer Leverkusen_1_1,28.9.2024,Bayern Munich,Bayer Leverkusen,1,1,1.65,4.4,4.55,,,,1.7,4.4,4.5,1.65,4.35,4.6,1.65,4.4,4.5,False
28.9.2024_B. Monchengladbach_Union Berlin_1_0,28.9.2024,B. Monchengladbach,Union Berlin,1,0,2.17,3.4,3.35,,,,2.2,3.35,3.4,2.2,3.3,3.4,2.15,3.5,3.25,False
28.9.2024_Freiburg_St. Pauli_0_3,28.9.2024,Freiburg,St. Pauli,0,3,1.58,4.1,5.61,,,,1.58,4.1,5.75,1.6,4.05,5.6,1.57,4.1,5.5,False
28.9.2024_Mainz_Heidenheim_0_2,28.9.2024,Mainz,Heidenheim,0,2,1.84,3.6,4.28,,,,1.88,3.5,4.3,1.83,3.6,4.35,1.82,3.6,4.33,False
28.9.2024_RB Leipzig_Augsburg_4_0,28.9.2024,RB Leipzig,Augsburg,4,0,1.48,4.78,5.94,,,,1.5,4.7,6.0,1.45,5.2,6.0,1.49,4.6,5.75,False
28.9.2024_Wolfsburg_Stuttgart_2_2,28.9.2024,Wolfsburg,Stuttgart,2,2,3.47,3.66,2.03,,,,3.3,3.55,2.15,3.55,3.7,2.0,3.5,3.7,2.0,False
27.9.2024_Dortmund_Bochum_4_2,27.9.2024,Dortmund,Bochum,4,2,1.2,7.26,12.75,,,,1.18,7.75,13.0,1.21,6.7,13.5,1.2,7.5,12.0,False
22.9.2024_St. Pauli_RB Leipzig_0_0,22.9.2024,St. Pauli,RB Leipzig,0,0,5.1,4.06,1.64,,,,5.25,4.2,1.6,5.0,3.85,1.7,4.8,4.1,1.65,False
