,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
9.4.2022_Greuther Furth_B. Monchengladbach_0_2,9.4.2022,Greuther Furth,B. Monchengladbach,0,2,4.5,4.0,1.72,,,,,,,,,,,,,False
9.4.2022_Wolfsburg_Arminia Bielefeld_4_0,9.4.2022,Wolfsburg,Arminia Bielefeld,4,0,1.66,3.75,5.25,,,,,,,,,,,,,False
8.4.2022_Stuttgart_Dortmund_0_2,8.4.2022,Stuttgart,Dortmund,0,2,3.4,4.0,1.9,,,,,,,,,,,,,False
6.4.2022_Augsburg_Mainz_2_1,6.4.2022,Augsburg,Mainz,2,1,3.2,3.4,2.2,,,,,,,,,,,,,False
3.4.2022_B. Monchengladbach_Mainz_1_1,3.4.2022,B. Monchengladbach,Mainz,1,1,2.3,3.6,2.87,,,,,,,,,,,,,False
3.4.2022_Augsburg_Wolfsburg_3_0,3.4.2022,Augsburg,Wolfsburg,3,0,2.45,3.4,2.8,,,,,,,,,,,,,False
2.4.2022_Dortmund_RB Leipzig_1_4,2.4.2022,Dortmund,RB Leipzig,1,4,2.3,3.75,2.87,,,,,,,,,,,,,False
2.4.2022_Arminia Bielefeld_Stuttgart_1_1,2.4.2022,Arminia Bielefeld,Stuttgart,1,1,3.3,3.4,2.2,,,,,,,,,,,,,False
2.4.2022_Bayer Leverkusen_Hertha Berlin_2_1,2.4.2022,Bayer Leverkusen,Hertha Berlin,2,1,1.44,4.75,6.5,,,,,,,,,,,,,False
2.4.2022_Eintracht Frankfurt_Greuther Furth_0_0,2.4.2022,Eintracht Frankfurt,Greuther Furth,0,0,1.28,6.0,11.0,,,,,,,,,,,,,False
2.4.2022_Freiburg_Bayern Munich_1_4,2.4.2022,Freiburg,Bayern Munich,1,4,6.0,5.0,1.5,,,,,,,,,,,,,False
2.4.2022_Hoffenheim_Bochum_1_2,2.4.2022,Hoffenheim,Bochum,1,2,1.45,4.75,6.5,,,,,,,,,,,,,False
1.4.2022_Union Berlin_FC Koln_1_0,1.4.2022,Union Berlin,FC Koln,1,0,2.25,3.3,3.3,,,,,,,,,,,,,False
20.3.2022_FC Koln_Dortmund_1_1,20.3.2022,FC Koln,Dortmund,1,1,3.4,4.0,1.95,,,,,,,,,,,,,False
20.3.2022_Wolfsburg_Bayer Leverkusen_0_2,20.3.2022,Wolfsburg,Bayer Leverkusen,0,2,3.1,3.6,2.15,,,,,,,,,,,,,False
20.3.2022_RB Leipzig_Eintracht Frankfurt_0_0,20.3.2022,RB Leipzig,Eintracht Frankfurt,0,0,1.4,4.75,8.0,,,,,,,,,,,,,False
19.3.2022_Bayern Munich_Union Berlin_4_0,19.3.2022,Bayern Munich,Union Berlin,4,0,1.12,9.0,17.0,,,,,,,,,,,,,False
19.3.2022_Greuther Furth_Freiburg_0_0,19.3.2022,Greuther Furth,Freiburg,0,0,4.75,4.0,1.7,,,,,,,,,,,,,False
19.3.2022_Hertha Berlin_Hoffenheim_3_0,19.3.2022,Hertha Berlin,Hoffenheim,3,0,3.3,3.8,2.1,,,,,,,,,,,,,False
19.3.2022_Mainz_Arminia Bielefeld_4_0,19.3.2022,Mainz,Arminia Bielefeld,4,0,1.45,4.33,7.0,,,,,,,,,,,,,False
19.3.2022_Stuttgart_Augsburg_3_2,19.3.2022,Stuttgart,Augsburg,3,2,1.75,3.6,4.5,,,,,,,,,,,,,False
18.3.2022_Bochum_B. Monchengladbach_0_2,18.3.2022,Bochum,B. Monchengladbach,0,2,2.8,3.6,2.37,,,,,,,,,,,,,False
16.3.2022_Mainz_Dortmund_0_1,16.3.2022,Mainz,Dortmund,0,1,2.8,3.6,2.37,,,,,,,,,,,,,False
13.3.2022_Greuther Furth_RB Leipzig_1_6,13.3.2022,Greuther Furth,RB Leipzig,1,6,9.5,5.25,1.33,,,,,,,,,,,,,False
13.3.2022_Dortmund_Arminia Bielefeld_1_0,13.3.2022,Dortmund,Arminia Bielefeld,1,0,1.36,5.25,8.0,,,,,,,,,,,,,False
13.3.2022_Eintracht Frankfurt_Bochum_2_1,13.3.2022,Eintracht Frankfurt,Bochum,2,1,1.55,4.0,6.0,,,,,,,,,,,,,False
13.3.2022_Bayer Leverkusen_FC Koln_0_1,13.3.2022,Bayer Leverkusen,FC Koln,0,1,1.7,4.0,4.75,,,,,,,,,,,,,False
12.3.2022_B. Monchengladbach_Hertha Berlin_2_0,12.3.2022,B. Monchengladbach,Hertha Berlin,2,0,1.5,4.5,6.5,,,,,,,,,,,,,False
12.3.2022_Freiburg_Wolfsburg_3_2,12.3.2022,Freiburg,Wolfsburg,3,2,2.0,3.6,3.6,,,,,,,,,,,,,False
12.3.2022_Hoffenheim_Bayern Munich_1_1,12.3.2022,Hoffenheim,Bayern Munich,1,1,6.0,5.5,1.4,,,,,,,,,,,,,False
12.3.2022_Union Berlin_Stuttgart_1_1,12.3.2022,Union Berlin,Stuttgart,1,1,2.05,3.4,3.6,,,,,,,,,,,,,False
6.3.2022_FC Koln_Hoffenheim_0_1,6.3.2022,FC Koln,Hoffenheim,0,1,2.9,3.75,2.37,,,,,,,,,,,,,False
5.3.2022_Stuttgart_B. Monchengladbach_3_2,5.3.2022,Stuttgart,B. Monchengladbach,3,2,2.7,3.6,2.4,,,,,,,,,,,,,False
5.3.2022_Bayern Munich_Bayer Leverkusen_1_1,5.3.2022,Bayern Munich,Bayer Leverkusen,1,1,1.33,6.5,7.0,,,,,,,,,,,,,False
5.3.2022_Bochum_Greuther Furth_2_1,5.3.2022,Bochum,Greuther Furth,2,1,1.7,3.8,5.0,,,,,,,,,,,,,False
5.3.2022_Hertha Berlin_Eintracht Frankfurt_1_4,5.3.2022,Hertha Berlin,Eintracht Frankfurt,1,4,3.25,3.6,2.15,,,,,,,,,,,,,False
5.3.2022_RB Leipzig_Freiburg_1_1,5.3.2022,RB Leipzig,Freiburg,1,1,1.53,4.2,6.5,,,,,,,,,,,,,False
5.3.2022_Wolfsburg_Union Berlin_1_0,5.3.2022,Wolfsburg,Union Berlin,1,0,2.25,3.1,3.4,,,,,,,,,,,,,False
4.3.2022_Arminia Bielefeld_Augsburg_0_1,4.3.2022,Arminia Bielefeld,Augsburg,0,1,2.37,3.25,3.0,,,,,,,,,,,,,False
27.2.2022_Augsburg_Dortmund_1_1,27.2.2022,Augsburg,Dortmund,1,1,4.0,3.8,1.85,,,,,,,,,,,,,False
27.2.2022_Bochum_RB Leipzig_0_1,27.2.2022,Bochum,RB Leipzig,0,1,4.75,3.75,1.75,,,,,,,,,,,,,False
26.2.2022_Eintracht Frankfurt_Bayern Munich_0_1,26.2.2022,Eintracht Frankfurt,Bayern Munich,0,1,5.5,4.75,1.5,,,,,,,,,,,,,False
26.2.2022_B. Monchengladbach_Wolfsburg_2_2,26.2.2022,B. Monchengladbach,Wolfsburg,2,2,2.05,3.5,3.6,,,,,,,,,,,,,False
26.2.2022_Bayer Leverkusen_Arminia Bielefeld_3_0,26.2.2022,Bayer Leverkusen,Arminia Bielefeld,3,0,1.33,5.5,8.5,,,,,,,,,,,,,False
26.2.2022_Freiburg_Hertha Berlin_3_0,26.2.2022,Freiburg,Hertha Berlin,3,0,1.4,5.25,7.0,,,,,,,,,,,,,False
26.2.2022_Greuther Furth_FC Koln_1_1,26.2.2022,Greuther Furth,FC Koln,1,1,3.6,3.6,2.0,,,,,,,,,,,,,False
26.2.2022_Union Berlin_Mainz_3_1,26.2.2022,Union Berlin,Mainz,3,1,2.6,3.3,2.75,,,,,,,,,,,,,False
25.2.2022_Hoffenheim_Stuttgart_2_1,25.2.2022,Hoffenheim,Stuttgart,2,1,1.55,4.5,5.25,,,,,,,,,,,,,False
20.2.2022_Hertha Berlin_RB Leipzig_1_6,20.2.2022,Hertha Berlin,RB Leipzig,1,6,6.5,4.33,1.5,,,,,,,,,,,,,False
20.2.2022_Dortmund_B. Monchengladbach_6_0,20.2.2022,Dortmund,B. Monchengladbach,6,0,1.85,4.0,3.8,,,,,,,,,,,,,False
20.2.2022_Bayern Munich_Greuther Furth_4_1,20.2.2022,Bayern Munich,Greuther Furth,4,1,1.07,13.0,19.0,,,,,,,,,,,,,False
19.2.2022_FC Koln_Eintracht Frankfurt_1_0,19.2.2022,FC Koln,Eintracht Frankfurt,1,0,2.37,3.5,3.0,,,,,,,,,,,,,False
19.2.2022_Arminia Bielefeld_Union Berlin_1_0,19.2.2022,Arminia Bielefeld,Union Berlin,1,0,2.9,3.25,2.5,,,,,,,,,,,,,False
19.2.2022_Augsburg_Freiburg_1_2,19.2.2022,Augsburg,Freiburg,1,2,3.1,3.5,2.25,,,,,,,,,,,,,False
19.2.2022_Stuttgart_Bochum_1_1,19.2.2022,Stuttgart,Bochum,1,1,2.05,3.25,3.8,,,,,,,,,,,,,False
19.2.2022_Wolfsburg_Hoffenheim_1_2,19.2.2022,Wolfsburg,Hoffenheim,1,2,3.0,3.5,2.3,,,,,,,,,,,,,False
18.2.2022_Mainz_Bayer Leverkusen_3_2,18.2.2022,Mainz,Bayer Leverkusen,3,2,2.87,3.75,2.3,,,,,,,,,,,,,False
13.2.2022_Hoffenheim_Arminia Bielefeld_2_0,13.2.2022,Hoffenheim,Arminia Bielefeld,2,0,1.5,4.5,5.75,,,,,,,,,,,,,False
13.2.2022_Union Berlin_Dortmund_0_3,13.2.2022,Union Berlin,Dortmund,0,3,3.5,3.5,2.1,,,,,,,,,,,,,False
12.2.2022_Bayer Leverkusen_Stuttgart_4_2,12.2.2022,Bayer Leverkusen,Stuttgart,4,2,1.3,5.25,9.0,,,,,,,,,,,,,False
12.2.2022_B. Monchengladbach_Augsburg_3_2,12.2.2022,B. Monchengladbach,Augsburg,3,2,1.53,4.75,5.25,,,,,,,,,,,,,False
12.2.2022_Bochum_Bayern Munich_4_2,12.2.2022,Bochum,Bayern Munich,4,2,12.0,8.0,1.2,,,,,,,,,,,,,False
12.2.2022_Eintracht Frankfurt_Wolfsburg_0_2,12.2.2022,Eintracht Frankfurt,Wolfsburg,0,2,2.15,3.4,3.4,,,,,,,,,,,,,False
12.2.2022_Freiburg_Mainz_1_1,12.2.2022,Freiburg,Mainz,1,1,2.1,3.2,3.6,,,,,,,,,,,,,False
12.2.2022_Greuther Furth_Hertha Berlin_2_1,12.2.2022,Greuther Furth,Hertha Berlin,2,1,2.7,3.25,2.7,,,,,,,,,,,,,False
11.2.2022_RB Leipzig_FC Koln_3_1,11.2.2022,RB Leipzig,FC Koln,3,1,1.4,4.75,7.5,,,,,,,,,,,,,False
6.2.2022_Wolfsburg_Greuther Furth_4_1,6.2.2022,Wolfsburg,Greuther Furth,4,1,1.57,4.0,6.0,,,,,,,,,,,,,False
6.2.2022_Dortmund_Bayer Leverkusen_2_5,6.2.2022,Dortmund,Bayer Leverkusen,2,5,1.95,4.2,3.4,,,,,,,,,,,,,False
5.2.2022_Bayern Munich_RB Leipzig_3_2,5.2.2022,Bayern Munich,RB Leipzig,3,2,1.4,5.75,6.0,,,,,,,,,,,,,False
5.2.2022_FC Koln_Freiburg_1_0,5.2.2022,FC Koln,Freiburg,1,0,2.5,3.5,2.7,,,,,,,,,,,,,False
5.2.2022_Arminia Bielefeld_B. Monchengladbach_1_1,5.2.2022,Arminia Bielefeld,B. Monchengladbach,1,1,3.6,3.5,2.05,,,,,,,,,,,,,False
5.2.2022_Augsburg_Union Berlin_2_0,5.2.2022,Augsburg,Union Berlin,2,0,2.8,3.25,2.6,,,,,,,,,,,,,False
5.2.2022_Mainz_Hoffenheim_2_0,5.2.2022,Mainz,Hoffenheim,2,0,2.62,3.3,2.6,,,,,,,,,,,,,False
5.2.2022_Stuttgart_Eintracht Frankfurt_2_3,5.2.2022,Stuttgart,Eintracht Frankfurt,2,3,2.37,3.4,2.9,,,,,,,,,,,,,False
4.2.2022_Hertha Berlin_Bochum_1_1,4.2.2022,Hertha Berlin,Bochum,1,1,2.3,3.3,3.2,,,,,,,,,,,,,False
23.1.2022_Hertha Berlin_Bayern Munich_1_4,23.1.2022,Hertha Berlin,Bayern Munich,1,4,11.0,7.0,1.2,,,,,,,,,,,,,False
23.1.2022_RB Leipzig_Wolfsburg_2_0,23.1.2022,RB Leipzig,Wolfsburg,2,0,1.5,4.33,6.5,,,,,,,,,,,,,False
22.1.2022_Bochum_FC Koln_2_2,22.1.2022,Bochum,FC Koln,2,2,3.25,3.4,2.2,,,,,,,,,,,,,False
22.1.2022_B. Monchengladbach_Union Berlin_1_2,22.1.2022,B. Monchengladbach,Union Berlin,1,2,1.95,3.5,3.8,,,,,,,,,,,,,False
22.1.2022_Bayer Leverkusen_Augsburg_5_1,22.1.2022,Bayer Leverkusen,Augsburg,5,1,1.4,4.75,7.0,,,,,,,,,,,,,False
22.1.2022_Freiburg_Stuttgart_2_0,22.1.2022,Freiburg,Stuttgart,2,0,1.8,3.6,4.5,,,,,,,,,,,,,False
22.1.2022_Greuther Furth_Mainz_2_1,22.1.2022,Greuther Furth,Mainz,2,1,4.5,3.5,1.85,,,,,,,,,,,,,False
22.1.2022_Hoffenheim_Dortmund_2_3,22.1.2022,Hoffenheim,Dortmund,2,3,3.3,4.2,1.9,,,,,,,,,,,,,False
21.1.2022_Eintracht Frankfurt_Arminia Bielefeld_0_2,21.1.2022,Eintracht Frankfurt,Arminia Bielefeld,0,2,1.72,3.75,4.75,,,,,,,,,,,,,False
16.1.2022_Arminia Bielefeld_Greuther Furth_2_2,16.1.2022,Arminia Bielefeld,Greuther Furth,2,2,2.0,3.5,3.8,,,,,,,,,,,,,False
16.1.2022_Augsburg_Eintracht Frankfurt_1_1,16.1.2022,Augsburg,Eintracht Frankfurt,1,1,2.7,3.5,2.55,,,,,,,,,,,,,False
15.1.2022_B. Monchengladbach_Bayer Leverkusen_1_2,15.1.2022,B. Monchengladbach,Bayer Leverkusen,1,2,2.55,3.8,2.45,,,,,,,,,,,,,False
15.1.2022_FC Koln_Bayern Munich_0_4,15.1.2022,FC Koln,Bayern Munich,0,4,5.5,5.75,1.4,,,,,,,,,,,,,False
15.1.2022_Mainz_Bochum_1_0,15.1.2022,Mainz,Bochum,1,0,1.61,3.75,6.0,,,,,,,,,,,,,False
15.1.2022_Union Berlin_Hoffenheim_2_1,15.1.2022,Union Berlin,Hoffenheim,2,1,2.9,3.4,2.37,,,,,,,,,,,,,False
15.1.2022_Stuttgart_RB Leipzig_0_2,15.1.2022,Stuttgart,RB Leipzig,0,2,6.0,4.2,1.57,,,,,,,,,,,,,False
15.1.2022_Wolfsburg_Hertha Berlin_0_0,15.1.2022,Wolfsburg,Hertha Berlin,0,0,1.95,3.5,3.8,,,,,,,,,,,,,False
14.1.2022_Dortmund_Freiburg_5_1,14.1.2022,Dortmund,Freiburg,5,1,1.44,4.75,5.75,,,,,,,,,,,,,False
9.1.2022_Bochum_Wolfsburg_1_0,9.1.2022,Bochum,Wolfsburg,1,0,3.2,3.3,2.3,,,,,,,,,,,,,False
9.1.2022_Hertha Berlin_FC Koln_1_3,9.1.2022,Hertha Berlin,FC Koln,1,3,2.9,3.5,2.37,,,,,,,,,,,,,False
8.1.2022_Eintracht Frankfurt_Dortmund_2_3,8.1.2022,Eintracht Frankfurt,Dortmund,2,3,4.33,4.0,1.72,,,,,,,,,,,,,False
8.1.2022_RB Leipzig_Mainz_4_1,8.1.2022,RB Leipzig,Mainz,4,1,1.72,3.8,4.75,,,,,,,,,,,,,False
8.1.2022_Bayer Leverkusen_Union Berlin_2_2,8.1.2022,Bayer Leverkusen,Union Berlin,2,2,1.75,3.9,4.33,,,,,,,,,,,,,False
8.1.2022_Freiburg_Arminia Bielefeld_2_2,8.1.2022,Freiburg,Arminia Bielefeld,2,2,1.72,3.6,5.0,,,,,,,,,,,,,False
8.1.2022_Greuther Furth_Stuttgart_0_0,8.1.2022,Greuther Furth,Stuttgart,0,0,3.5,3.4,2.1,,,,,,,,,,,,,False
8.1.2022_Hoffenheim_Augsburg_3_1,8.1.2022,Hoffenheim,Augsburg,3,1,1.5,4.5,6.0,,,,,,,,,,,,,False
7.1.2022_Bayern Munich_B. Monchengladbach_1_2,7.1.2022,Bayern Munich,B. Monchengladbach,1,2,1.28,6.5,8.5,,,,,,,,,,,,,False
19.12.2021_FC Koln_Stuttgart_1_0,19.12.2021,FC Koln,Stuttgart,1,0,1.9,3.9,3.6,,,,,,,,,,,,,False
19.12.2021_Freiburg_Bayer Leverkusen_2_1,19.12.2021,Freiburg,Bayer Leverkusen,2,1,2.5,3.6,2.62,,,,,,,,,,,,,False
18.12.2021_Hertha Berlin_Dortmund_3_2,18.12.2021,Hertha Berlin,Dortmund,3,2,5.0,4.33,1.61,,,,,,,,,,,,,False
18.12.2021_Bochum_Union Berlin_0_1,18.12.2021,Bochum,Union Berlin,0,1,3.6,3.5,2.05,,,,,,,,,,,,,False
18.12.2021_Eintracht Frankfurt_Mainz_1_0,18.12.2021,Eintracht Frankfurt,Mainz,1,0,2.5,3.4,2.8,,,,,,,,,,,,,False
18.12.2021_Greuther Furth_Augsburg_0_0,18.12.2021,Greuther Furth,Augsburg,0,0,3.5,3.5,2.05,,,,,,,,,,,,,False
18.12.2021_Hoffenheim_B. Monchengladbach_1_1,18.12.2021,Hoffenheim,B. Monchengladbach,1,1,1.95,4.0,3.5,,,,,,,,,,,,,False
18.12.2021_RB Leipzig_Arminia Bielefeld_0_2,18.12.2021,RB Leipzig,Arminia Bielefeld,0,2,1.2,7.0,13.0,,,,,,,,,,,,,False
17.12.2021_Bayern Munich_Wolfsburg_4_0,17.12.2021,Bayern Munich,Wolfsburg,4,0,1.18,8.0,13.0,,,,,,,,,,,,,False
15.12.2021_Augsburg_RB Leipzig_1_1,15.12.2021,Augsburg,RB Leipzig,1,1,7.5,5.25,1.36,,,,,,,,,,,,,False
15.12.2021_Bayer Leverkusen_Hoffenheim_2_2,15.12.2021,Bayer Leverkusen,Hoffenheim,2,2,1.9,3.8,3.75,,,,,,,,,,,,,False
15.12.2021_Dortmund_Greuther Furth_3_0,15.12.2021,Dortmund,Greuther Furth,3,0,1.1,10.0,23.0,,,,,,,,,,,,,False
15.12.2021_Union Berlin_Freiburg_0_0,15.12.2021,Union Berlin,Freiburg,0,0,2.4,3.4,2.9,,,,,,,,,,,,,False
15.12.2021_B. Monchengladbach_Eintracht Frankfurt_2_3,15.12.2021,B. Monchengladbach,Eintracht Frankfurt,2,3,1.95,3.8,3.6,,,,,,,,,,,,,False
14.12.2021_Arminia Bielefeld_Bochum_2_0,14.12.2021,Arminia Bielefeld,Bochum,2,0,2.2,3.4,3.2,,,,,,,,,,,,,False
