,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
23.5.2022_Hamburger SV_Hertha Berlin_0_2,23.5.2022,Hamburger SV,Hertha Berlin,0,2,1.95,3.6,3.8,,,,,,,,,,,,,False
19.5.2022_Hertha Berlin_Hamburger SV_0_1,19.5.2022,Hertha Berlin,Hamburger SV,0,1,2.45,3.4,2.9,,,,,,,,,,,,,False
14.5.2022_Arminia Bielefeld_RB Leipzig_1_1,14.5.2022,Arminia Bielefeld,RB Leipzig,1,1,8.0,4.75,1.36,,,,,,,,,,,,,False
14.5.2022_Augsburg_Greuther Furth_2_1,14.5.2022,Augsburg,Greuther Furth,2,1,1.65,4.2,4.75,,,,,,,,,,,,,False
14.5.2022_B. Monchengladbach_Hoffenheim_5_1,14.5.2022,B. Monchengladbach,Hoffenheim,5,1,2.05,4.33,3.0,,,,,,,,,,,,,False
14.5.2022_Bayer Leverkusen_Freiburg_2_1,14.5.2022,Bayer Leverkusen,Freiburg,2,1,2.2,4.0,2.87,,,,,,,,,,,,,False
14.5.2022_Dortmund_Hertha Berlin_2_1,14.5.2022,Dortmund,Hertha Berlin,2,1,1.5,4.75,5.25,,,,,,,,,,,,,False
14.5.2022_Mainz_Eintracht Frankfurt_2_2,14.5.2022,Mainz,Eintracht Frankfurt,2,2,1.85,4.0,3.8,,,,,,,,,,,,,False
14.5.2022_Union Berlin_Bochum_3_2,14.5.2022,Union Berlin,Bochum,3,2,1.28,5.75,10.0,,,,,,,,,,,,,False
14.5.2022_Stuttgart_FC Koln_2_1,14.5.2022,Stuttgart,FC Koln,2,1,2.15,4.0,2.9,,,,,,,,,,,,,False
14.5.2022_Wolfsburg_Bayern Munich_2_2,14.5.2022,Wolfsburg,Bayern Munich,2,2,6.0,5.75,1.4,,,,,,,,,,,,,False
8.5.2022_RB Leipzig_Augsburg_4_0,8.5.2022,RB Leipzig,Augsburg,4,0,1.18,7.0,15.0,,,,,,,,,,,,,False
8.5.2022_Bayern Munich_Stuttgart_2_2,8.5.2022,Bayern Munich,Stuttgart,2,2,1.28,6.5,8.0,,,,,,,,,,,,,False
8.5.2022_Eintracht Frankfurt_B. Monchengladbach_1_1,8.5.2022,Eintracht Frankfurt,B. Monchengladbach,1,1,2.6,4.0,2.45,,,,,,,,,,,,,False
7.5.2022_Hertha Berlin_Mainz_1_2,7.5.2022,Hertha Berlin,Mainz,1,2,2.8,3.3,2.5,,,,,,,,,,,,,False
7.5.2022_FC Koln_Wolfsburg_0_1,7.5.2022,FC Koln,Wolfsburg,0,1,1.5,5.0,5.75,,,,,,,,,,,,,False
7.5.2022_Freiburg_Union Berlin_1_4,7.5.2022,Freiburg,Union Berlin,1,4,1.8,3.5,4.5,,,,,,,,,,,,,False
7.5.2022_Greuther Furth_Dortmund_1_3,7.5.2022,Greuther Furth,Dortmund,1,3,7.0,5.5,1.36,,,,,,,,,,,,,False
7.5.2022_Hoffenheim_Bayer Leverkusen_2_4,7.5.2022,Hoffenheim,Bayer Leverkusen,2,4,2.8,4.0,2.2,,,,,,,,,,,,,False
6.5.2022_Bochum_Arminia Bielefeld_2_1,6.5.2022,Bochum,Arminia Bielefeld,2,1,2.1,3.6,3.3,,,,,,,,,,,,,False
2.5.2022_B. Monchengladbach_RB Leipzig_3_1,2.5.2022,B. Monchengladbach,RB Leipzig,3,1,4.5,4.5,1.65,,,,,,,,,,,,,False
2.5.2022_Bayer Leverkusen_Eintracht Frankfurt_2_0,2.5.2022,Bayer Leverkusen,Eintracht Frankfurt,2,0,1.5,4.75,6.0,,,,,,,,,,,,,False
30.4.2022_Hoffenheim_Freiburg_3_4,30.4.2022,Hoffenheim,Freiburg,3,4,2.25,3.6,2.9,,,,,,,,,,,,,False
30.4.2022_Arminia Bielefeld_Hertha Berlin_1_1,30.4.2022,Arminia Bielefeld,Hertha Berlin,1,1,2.75,3.25,2.7,,,,,,,,,,,,,False
30.4.2022_Augsburg_FC Koln_1_4,30.4.2022,Augsburg,FC Koln,1,4,3.1,3.4,2.3,,,,,,,,,,,,,False
30.4.2022_Dortmund_Bochum_3_4,30.4.2022,Dortmund,Bochum,3,4,1.4,5.0,7.0,,,,,,,,,,,,,False
30.4.2022_Mainz_Bayern Munich_3_1,30.4.2022,Mainz,Bayern Munich,3,1,4.75,4.2,1.65,,,,,,,,,,,,,False
30.4.2022_Stuttgart_Wolfsburg_1_1,30.4.2022,Stuttgart,Wolfsburg,1,1,1.85,3.75,4.2,,,,,,,,,,,,,False
29.4.2022_Union Berlin_Greuther Furth_1_1,29.4.2022,Union Berlin,Greuther Furth,1,1,1.25,6.0,12.0,,,,,,,,,,,,,False
24.4.2022_Hertha Berlin_Stuttgart_2_0,24.4.2022,Hertha Berlin,Stuttgart,2,0,3.1,3.3,2.3,,,,,,,,,,,,,False
24.4.2022_Bochum_Augsburg_0_2,24.4.2022,Bochum,Augsburg,0,2,2.2,3.3,3.4,,,,,,,,,,,,,False
23.4.2022_Bayern Munich_Dortmund_3_1,23.4.2022,Bayern Munich,Dortmund,3,1,1.3,6.5,7.0,,,,,,,,,,,,,False
23.4.2022_FC Koln_Arminia Bielefeld_3_1,23.4.2022,FC Koln,Arminia Bielefeld,3,1,1.4,4.75,8.0,,,,,,,,,,,,,False
23.4.2022_Eintracht Frankfurt_Hoffenheim_2_2,23.4.2022,Eintracht Frankfurt,Hoffenheim,2,2,2.3,3.6,2.87,,,,,,,,,,,,,False
23.4.2022_Freiburg_B. Monchengladbach_3_3,23.4.2022,Freiburg,B. Monchengladbach,3,3,1.8,4.0,4.2,,,,,,,,,,,,,False
23.4.2022_Greuther Furth_Bayer Leverkusen_1_4,23.4.2022,Greuther Furth,Bayer Leverkusen,1,4,10.0,5.75,1.28,,,,,,,,,,,,,False
23.4.2022_RB Leipzig_Union Berlin_1_2,23.4.2022,RB Leipzig,Union Berlin,1,2,1.61,3.8,5.75,,,,,,,,,,,,,False
22.4.2022_Wolfsburg_Mainz_5_0,22.4.2022,Wolfsburg,Mainz,5,0,2.45,3.4,2.9,,,,,,,,,,,,,False
17.4.2022_Bayer Leverkusen_RB Leipzig_0_1,17.4.2022,Bayer Leverkusen,RB Leipzig,0,1,2.45,3.4,2.8,,,,,,,,,,,,,False
17.4.2022_Hoffenheim_Greuther Furth_0_0,17.4.2022,Hoffenheim,Greuther Furth,0,0,1.18,7.5,13.0,,,,,,,,,,,,,False
17.4.2022_Union Berlin_Eintracht Frankfurt_2_0,17.4.2022,Union Berlin,Eintracht Frankfurt,2,0,2.05,3.6,3.6,,,,,,,,,,,,,False
17.4.2022_Arminia Bielefeld_Bayern Munich_0_3,17.4.2022,Arminia Bielefeld,Bayern Munich,0,3,17.0,9.0,1.14,,,,,,,,,,,,,False
16.4.2022_B. Monchengladbach_FC Koln_1_3,16.4.2022,B. Monchengladbach,FC Koln,1,3,2.1,3.6,3.3,,,,,,,,,,,,,False
16.4.2022_Augsburg_Hertha Berlin_0_1,16.4.2022,Augsburg,Hertha Berlin,0,1,1.95,3.4,4.0,,,,,,,,,,,,,False
16.4.2022_Dortmund_Wolfsburg_6_1,16.4.2022,Dortmund,Wolfsburg,6,1,1.57,4.33,5.25,,,,,,,,,,,,,False
16.4.2022_Freiburg_Bochum_3_0,16.4.2022,Freiburg,Bochum,3,0,1.65,4.0,5.25,,,,,,,,,,,,,False
16.4.2022_Mainz_Stuttgart_0_0,16.4.2022,Mainz,Stuttgart,0,0,1.95,3.75,3.6,,,,,,,,,,,,,False
10.4.2022_RB Leipzig_Hoffenheim_3_0,10.4.2022,RB Leipzig,Hoffenheim,3,0,1.44,5.0,6.0,,,,,,,,,,,,,False
10.4.2022_Eintracht Frankfurt_Freiburg_1_2,10.4.2022,Eintracht Frankfurt,Freiburg,1,2,2.3,3.4,3.0,,,,,,,,,,,,,False
10.4.2022_Bochum_Bayer Leverkusen_0_0,10.4.2022,Bochum,Bayer Leverkusen,0,0,3.6,3.8,1.9,,,,,,,,,,,,,False
9.4.2022_Hertha Berlin_Union Berlin_1_4,9.4.2022,Hertha Berlin,Union Berlin,1,4,3.4,3.1,2.25,,,,,,,,,,,,,False
9.4.2022_FC Koln_Mainz_3_2,9.4.2022,FC Koln,Mainz,3,2,2.62,3.3,2.7,,,,,,,,,,,,,False
9.4.2022_Bayern Munich_Augsburg_1_0,9.4.2022,Bayern Munich,Augsburg,1,0,1.14,9.5,15.0,,,,,,,,,,,,,False
